empresa,ejercicio,documento,tipo_doc,almacen,orden,descripcion,clv_man,facturado,empresa_id,almacen_id,documento_id,name
1,2023,3687,SF,1,7,INMERSOR BAJADA RAPIDA -SUBIDA LENTA,,0,1,1_1,1_1_SF_3687,1_1_SF_3687_7_1
1,2023,3687,SF,1,8,"INMERSOR PARADO ABAJO 0""",,0,1,1_1,1_1_SF_3687,1_1_SF_3687_8_1
1,2023,3687,SF,1,9,MEDIDA UTILAGE 82mm,,0,1,1_1,1_1_SF_3687,1_1_SF_3687_9_1
1,2023,3687,SF,1,10,GRUESO 1.5mm,,0,1,1_1,1_1_SF_3687,1_1_SF_3687_10_1
1,2023,3688,SF,1,2,5marcos x 2tiras x 1pieza = 10,,0,1,1_1,1_1_SF_3688,1_1_SF_3688_2_1
1,2023,3688,SF,1,3,CALENTAR 230º 1MARCO,,0,1,1_1,1_1_SF_3688,1_1_SF_3688_3_1
1,2023,3688,SF,1,4,COCER 200º 2MARCOS,,0,1,1_1,1_1_SF_3688,1_1_SF_3688_4_1
1,2023,3688,SF,1,5,"FRECUENCIA 300""",,0,1,1_1,1_1_SF_3688,1_1_SF_3688_5_1
1,2023,3688,SF,1,6,"PARADA 45""",,0,1,1_1,1_1_SF_3688,1_1_SF_3688_6_1
1,2023,3688,SF,1,7,INMERSOR BAJADA RAPIDA -SUBIDA LENTA,,0,1,1_1,1_1_SF_3688,1_1_SF_3688_7_1
1,2023,3688,SF,1,8,"INMERSOR PARADO ABAJO 0""",,0,1,1_1,1_1_SF_3688,1_1_SF_3688_8_1
1,2023,3688,SF,1,9,MEDIDA UTILAGE 82mm,,0,1,1_1,1_1_SF_3688,1_1_SF_3688_9_1
1,2023,3688,SF,1,10,GRUESO 1.5mm,,0,1,1_1,1_1_SF_3688,1_1_SF_3688_10_1
1,2023,23000415,EC,1,2,PT-569044,,1,1,1_1,1_1_EC_23000415,1_1_EC_23000415_2_1
1,2023,23000407,EC,1,2,EXTRUSIONADO EN ROLLO,,1,1,1_1,1_1_EC_23000407,1_1_EC_23000407_2_1
1,2023,23000475,SV,1,2,5MT CABLE,,1,1,1_1,1_1_SV_23000475,1_1_SV_23000475_2_1
1,2023,23000347,EC,1,2,S/ART. I24008,,1,1,1_1,1_1_EC_23000347,1_1_EC_23000347_2_1
1,2023,23000368,EC,1,2,REPARAR MODIFICAR PARA SOLDAR PINZA 3c,,1,1,1_1,1_1_EC_23000368,1_1_EC_23000368_2_1
1,2023,23000356,EC,1,2,PT-604770,,1,1,1_1,1_1_EC_23000356,1_1_EC_23000356_2_1
1,2023,23000356,EC,1,4,OBSERVACIONES,,1,1,1_1,1_1_EC_23000356,1_1_EC_23000356_4_1
1,2023,3689,SF,1,2,CALENTAR 2 MARCOS 150o,,0,1,1_1,1_1_SF_3689,1_1_SF_3689_2_1
1,2023,3689,SF,1,3,COCER 2 MARCOS 210o,,0,1,1_1,1_1_SF_3689,1_1_SF_3689_3_1
1,2023,3689,SF,1,4,IMPRIMACION CON CESTAS,,0,1,1_1,1_1_SF_3689,1_1_SF_3689_4_1
1,2023,3689,SF,1,5,MEDIDA PLASTISOL 115mm APROX.,,0,1,1_1,1_1_SF_3689,1_1_SF_3689_5_1
1,2023,3689,SF,1,6,2 PEINES DE 20 GANCHOS,,0,1,1_1,1_1_SF_3689,1_1_SF_3689_6_1
1,2023,3689,SF,1,7,RF.2012-MEDIDA PLAST.100mm. APROX.,,0,1,1_1,1_1_SF_3689,1_1_SF_3689_7_1
1,2023,3689,SF,1,8,RF.1012-MEDIDA PLAST. 90mm. APROX.,,0,1,1_1,1_1_SF_3689,1_1_SF_3689_8_1
1,2023,3689,SF,1,9,"INMERSOR 6""",,0,1,1_1,1_1_SF_3689,1_1_SF_3689_9_1
1,2023,23000341,EC,1,2,SM380 2 cajas de 800ud Lote 92105,,1,1,1_1,1_1_EC_23000341,1_1_EC_23000341_2_1
1,2023,23000341,EC,1,4,SM85 4 cajas de 4000ud Lote 47127,,1,1,1_1,1_1_EC_23000341,1_1_EC_23000341_4_1
1,2023,23000341,EC,1,6,CA160 2 cajas de 2000ud Lote 12084,,1,1,1_1,1_1_EC_23000341,1_1_EC_23000341_6_1
1,2023,23000341,EC,1,8,CA160 2 cajas de 1000ud Lote 12022,,1,1,1_1,1_1_EC_23000341,1_1_EC_23000341_8_1
1,2023,23000341,EC,1,10,CA160 2 cajas de 2000ud Lote 12022,,1,1,1_1,1_1_EC_23000341,1_1_EC_23000341_10_1
1,2023,3680,SF,1,7,INMERSOR BAJADA RAPIDA -SUBIDA LENTA,,0,1,1_1,1_1_SF_3680,1_1_SF_3680_7_1
1,2023,3680,SF,1,8,"INMERSOR PARADO ABAJO 0""",,0,1,1_1,1_1_SF_3680,1_1_SF_3680_8_1
1,2023,3680,SF,1,9,MEDIDA UTILAGE 82mm,,0,1,1_1,1_1_SF_3680,1_1_SF_3680_9_1
1,2023,3680,SF,1,10,GRUESO 1.5mm,,0,1,1_1,1_1_SF_3680,1_1_SF_3680_10_1
1,2023,23000222,PC,1,2,Heat YH CX-2005-WG Lot 2306676 D6,,0,1,1_1,1_1_PC_23000222,1_1_PC_23000222_2_1
1,2023,23000222,PC,1,4,"Heat YH CX-2237-WG Lot 2306077 C/9,5",,0,1,1_1,1_1_PC_23000222,1_1_PC_23000222_4_1
1,2023,23000222,PC,1,6,"Heat YH CX-2237-WG Lot 2306078 C/9,5",,0,1,1_1,1_1_PC_23000222,1_1_PC_23000222_6_1
1,2023,23000222,PC,1,8,"Heat YH CX-2237-WG Lot 2306078 C/9,5",,0,1,1_1,1_1_PC_23000222,1_1_PC_23000222_8_1
1,2023,23000222,PC,1,10,YH CX-2277-WG Lot 2306079 D4,,0,1,1_1,1_1_PC_23000222,1_1_PC_23000222_10_1
