empresa,ejercicio,almacen,documento,tipo_movimiento,linea_documento,linea_medida,bultos,cantidad,largo,ancho,grueso,procede,empresa_id,almacen_id,documento_id,linea_documento_id,name
1,2023,1,3124,SF,2,1,1.000,2.000,2000.000,0.000,0.000,2,1,1_1,1_1_SF_3124,1_1_SF_3124_2,1_1_SF_3124_2
1,2023,1,3133,SF,9,1,1.000,0.005,5.000,0.000,0.000,2,1,1_1,1_1_SF_3133,1_1_SF_3133_9,1_1_SF_3133_9
1,2023,1,3125,SF,1,1,2.000,0.426,585.000,0.000,0.000,2,1,1_1,1_1_SF_3125,1_1_SF_3125_1,1_1_SF_3125_1
1,2023,1,3136,SF,1,1,1.000,0.055,171.000,71.000,0.000,2,1,1_1,1_1_SF_3136,1_1_SF_3136_1,1_1_SF_3136_1
1,2023,1,3178,SF,10,1,1.000,0.050,50.000,0.000,0.000,2,1,1_1,1_1_SF_3178,1_1_SF_3178_10,1_1_SF_3178_10
1,2023,1,3187,SF,1,1,1.000,0.029,29.000,0.000,0.000,2,1,1_1,1_1_SF_3187,1_1_SF_3187_1,1_1_SF_3187_1
1,2023,1,3168,SF,1,1,1.067,0.003,3.000,0.000,0.000,2,1,1_1,1_1_SF_3168,1_1_SF_3168_1,1_1_SF_3168_1
1,2023,1,3203,SF,2,1,1.000,2.000,2000.000,0.000,0.000,2,1,1_1,1_1_SF_3203,1_1_SF_3203_2,1_1_SF_3203_2
1,2023,1,3203,SF,9,1,1.000,0.050,50.000,0.000,0.000,2,1,1_1,1_1_SF_3203,1_1_SF_3203_9,1_1_SF_3203_9
1,2023,1,3101,SF,1,1,1.000,0.072,728.000,0.000,0.000,2,1,1_1,1_1_SF_3101,1_1_SF_3101_1,1_1_SF_3101_1
1,2023,1,3101,SF,2,1,20.000,1.196,604.000,0.000,0.000,2,1,1_1,1_1_SF_3101,1_1_SF_3101_2,1_1_SF_3101_2
1,2023,1,3101,SF,3,1,20.000,1.180,596.000,0.000,0.000,2,1,1_1,1_1_SF_3101,1_1_SF_3101_3,1_1_SF_3101_3
1,2023,1,3101,SF,4,1,40.000,1.695,428.000,0.000,0.000,2,1,1_1,1_1_SF_3101,1_1_SF_3101_4,1_1_SF_3101_4
1,2023,1,3101,SF,5,1,120.000,1.663,140.000,0.000,0.000,2,1,1_1,1_1_SF_3101,1_1_SF_3101_5,1_1_SF_3101_5
1,2023,1,3101,SF,6,1,14.000,0.125,90.000,0.000,0.000,2,1,1_1,1_1_SF_3101,1_1_SF_3101_6,1_1_SF_3101_6
