moneda_ref,moneda,fecha_inicio,valor_c,valor_v,tipo,moneda_id,name
2,1,1994-04-29,130.000000,131.000000,2,1,2_1_1994-04-29
4,1,1994-04-29,20.000000,21.300000,2,1,4_1_1994-04-29
1,1,1994-04-29,1.000000,1.000000,2,1,1_1_1994-04-29
2,2,1994-04-29,1.000000,1.000000,2,2,2_2_1994-04-29
4,4,1994-04-29,1.000000,1.000000,2,4,4_4_1994-04-29
1,4,1994-05-30,1.000000,1.000000,1,4,1_4_1994-05-30
1,2,1994-05-30,1.000000,1.000000,1,2,1_2_1994-05-30
2,1,1994-05-30,1.000000,1.000000,1,1,2_1_1994-05-30
1,3,1994-05-30,0.010000,0.010000,1,3,1_3_1994-05-30
3,1,1994-05-30,1.000000,1.000000,1,1,3_1_1994-05-30
4,1,1994-05-30,1.000000,1.000000,1,1,4_1_1994-05-30
1,1,1994-05-30,1.000000,1.000000,1,1,1_1_1994-05-30
2,2,1994-05-30,1.000000,1.000000,1,2,2_2_1994-05-30
4,4,1994-05-30,1.000000,1.000000,1,4,4_4_1994-05-30
2,1,1994-06-01,130.000000,130.000000,1,1,2_1_1994-06-01
1,2,1994-06-01,0.007600,0.007600,1,2,1_2_1994-06-01
1,1,1994-06-01,1.000000,1.000000,1,1,1_1_1994-06-01
3,1,1994-06-01,0.084000,0.084000,1,1,3_1_1994-06-01
1,4,1994-06-01,0.050000,0.050000,1,4,1_4_1994-06-01
4,1,1994-06-01,20.000000,20.000000,1,1,4_1_1994-06-01
1,3,1994-06-01,0.840000,0.840000,1,3,1_3_1994-06-01
2,2,1994-06-01,1.000000,1.000000,1,2,2_2_1994-06-01
4,4,1994-06-01,1.000000,1.000000,1,4,4_4_1994-06-01
1,4,1994-05-30,1.000000,1.000000,2,4,1_4_1994-05-30
1,2,1994-05-30,1.000000,1.000000,2,2,1_2_1994-05-30
2,1,1994-05-30,1.000000,1.000000,2,1,2_1_1994-05-30
