empresa,codigo,clv_art,precio_std_1,fecha_std_1,precio_std_2,precio_std_3,precio_std_4,precio_u_entrada,moneda,cambio,cambio_euro,tipo_iva,variante,empresa_id,codigo_id,moneda_id,name
,C0123100A,,,,,,,,,1.000000,,1,STAND,0,0_C0123100A,,0_C0123100A_STAND
,C0103100A,,,,,,,,,1.000000,,1,STAND,0,0_C0103100A,,0_C0103100A_STAND
,C0113100A,,,,,,,,,1.000000,,1,STAND,0,0_C0113100A,,0_C0113100A_STAND
,C0132100A,,,,,,,,,1.000000,,1,STAND,0,0_C0132100A,,0_C0132100A_STAND
,C0132200A,,,,,,,,,1.000000,,1,STAND,0,0_C0132200A,,0_C0132200A_STAND
,C0136100A,,,,,,,,,1.000000,,1,STAND,0,0_C0136100A,,0_C0136100A_STAND
,C0136200A,,,,,,,,,1.000000,,1,STAND,0,0_C0136200A,,0_C0136200A_STAND
,C0084100A,,,,,,,,,1.000000,,1,STAND,0,0_C0084100A,,0_C0084100A_STAND
,C0094100A,,,,,,,,,1.000000,,1,STAND,0,0_C0094100A,,0_C0094100A_STAND
,C0123101A,,,,,,,,,1.000000,,1,STAND,0,0_C0123101A,,0_C0123101A_STAND
,C0123301A,,,,,,,,,1.000000,,1,STAND,0,0_C0123301A,,0_C0123301A_STAND
,C0103101A,,,,,,,,,1.000000,,1,STAND,0,0_C0103101A,,0_C0103101A_STAND
,C0113101A,,,,,,,,,1.000000,,1,STAND,0,0_C0113101A,,0_C0113101A_STAND
,C0132101A,,,,,,,,,1.000000,,1,STAND,0,0_C0132101A,,0_C0132101A_STAND
,C0132201A,,,,,,,,,1.000000,,1,STAND,0,0_C0132201A,,0_C0132201A_STAND
,C0136101A,,,,,,,,,1.000000,,1,STAND,0,0_C0136101A,,0_C0136101A_STAND
,C0136201A,,,,,,,,,1.000000,,1,STAND,0,0_C0136201A,,0_C0136201A_STAND
,C0094301A,,,,,,,,,1.000000,,1,STAND,0,0_C0094301A,,0_C0094301A_STAND
,C0034100A,,,,,,,,,1.000000,,1,STAND,0,0_C0034100A,,0_C0034100A_STAND
,C0014100A,,,,,,,,,1.000000,,1,STAND,0,0_C0014100A,,0_C0014100A_STAND
,C0024100A,,,,,,,,,1.000000,,1,STAND,0,0_C0024100A,,0_C0024100A_STAND
,C0035100A,,,,,,,,,1.000000,,1,STAND,0,0_C0035100A,,0_C0035100A_STAND
,C0015100A,,,,,,,,,1.000000,,1,STAND,0,0_C0015100A,,0_C0015100A_STAND
,C0025100A,,,,,,,,,1.000000,,1,STAND,0,0_C0025100A,,0_C0025100A_STAND
,C0034302A,,,,,,,,,1.000000,,1,STAND,0,0_C0034302A,,0_C0034302A_STAND
,C0033100B,,,,,,,,,1.000000,,1,STAND,0,0_C0033100B,,0_C0033100B_STAND
,C0012100B,,,,,,,,,1.000000,,1,STAND,0,0_C0012100B,,0_C0012100B_STAND
,C0012200B,,,,,,,,,1.000000,,1,STAND,0,0_C0012200B,,0_C0012200B_STAND
,C0011200B,,,,,,,,,1.000000,,1,STAND,0,0_C0011200B,,0_C0011200B_STAND
,C0021200B,,,,,,,,,1.000000,,1,STAND,0,0_C0021200B,,0_C0021200B_STAND
,C0031200B,,,,,,,,,1.000000,,1,STAND,0,0_C0031200B,,0_C0031200B_STAND
,C0063100B,,,,,,,,,1.000000,,1,STAND,0,0_C0063100B,,0_C0063100B_STAND
,C0063200B,,,,,,,,,1.000000,,1,STAND,0,0_C0063200B,,0_C0063200B_STAND
,C0042100B,,,,,,,,,1.000000,,1,STAND,0,0_C0042100B,,0_C0042100B_STAND
,C0042200B,,,,,,,,,1.000000,,1,STAND,0,0_C0042200B,,0_C0042200B_STAND
,C0052200B,,,,,,,,,1.000000,,1,STAND,0,0_C0052200B,,0_C0052200B_STAND
