empresa,subcta,linea_producto,clv_sub,moneda,limite_credito,riesgo_cartera,riesgo_pedidos,fecha_u_compra,pts_no_factura,empresa_id,moneda_id,subcta_id,name
1,4301877,1,,9,2999.00000,,,2024-06-25,,1,9,1_4301877,1_4301877_9
1,4301572,1,,9,0.00000,1560.43000,137.22000,2007-04-27,0.00000,1,9,1_4301572,1_4301572_9
1,4000797,1,,9,2999.00000,,,2024-05-31,,1,9,1_4000797,1_4000797_9
1,4310040,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310040,1_4310040_9
19,4301314,1,,9,0.00000,0.00000,0.00000,,0.00000,19,9,19_4301314,19_4301314_9
1,4301616,1,,9,0.00000,1560.43000,137.22000,2008-10-13,0.00000,1,9,1_4301616,1_4301616_9
1,4301617,1,,9,0.00000,1560.43000,137.22000,2009-01-01,0.00000,1,9,1_4301617,1_4301617_9
1,4000651,1,,9,3000.00000,3281.44000,0.00000,2024-06-19,0.00000,1,9,1_4000651,1_4000651_9
1,4000464,1,,9,0.00000,207.18000,0.00000,2021-02-28,0.00000,1,9,1_4000464,1_4000464_9
1,4300617,1,,9,50000.00000,42087.70000,3870.79000,2024-06-28,0.00000,1,9,1_4300617,1_4300617_9
1,4310024,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310024,1_4310024_9
1,4000795,1,,9,3000.00000,,,2024-07-03,,1,9,1_4000795,1_4000795_9
901,4000444,1,,9,0.00000,2992.80000,0.00000,,0.00000,901,9,901_4000444,901_4000444_9
1,4310029,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310029,1_4310029_9
1,4301878,1,,9,0.00000,,,2024-02-13,,1,9,1_4301878,1_4301878_9
1,4301875,1,,9,2999.00000,,,2024-01-19,,1,9,1_4301875,1_4301875_9
1,4310030,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310030,1_4310030_9
1,4000571,1,,9,3000.00000,3601.35000,0.00000,,0.00000,1,9,1_4000571,1_4000571_9
1,4310032,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310032,1_4310032_9
1,4310033,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310033,1_4310033_9
1,4310035,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310035,1_4310035_9
1,4310037,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310037,1_4310037_9
1,4310038,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310038,1_4310038_9
1,4000282,1,,9,0.00000,830.76000,0.00000,2024-07-02,0.00000,1,9,1_4000282,1_4000282_9
1,4000793,1,,9,3000.00000,,,2024-06-03,,1,9,1_4000793,1_4000793_9
1,4301882,1,,9,2999.00000,,,2024-07-04,,1,9,1_4301882,1_4301882_9
1,4000701,1,,9,0.00000,150.31000,0.00000,2024-01-15,0.00000,1,9,1_4000701,1_4000701_9
1,4310086,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310086,1_4310086_9
1,4301876,1,,9,2999.00000,0.00000,0.01000,2024-05-28,0.00000,1,9,1_4301876,1_4301876_9
1,4300648,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4300648,1_4300648_9
1,4310089,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310089,1_4310089_9
1,4310090,1,,9,0.00000,1560.43000,137.22000,,0.00000,1,9,1_4310090,1_4310090_9
