empresa,ejercicio,tipo_movimiento,pedido,linea_pedido,clv_ped,fecha_servicio,articulo,acumula,cantidad,bultos,cantidad_s,bultos_s,precio,precio_iva,tipo_precio,descuento_1,descuento_2,descuento_3,comision_1,comision_2,comision_3,tipo_iva,variante,iva,recargo_e,precio_coste,pts_kl,aplic_pt_kl,total_linea,total_linea_base,total_linea_euro,moneda,cambio,cambio_euro,almacen,subcta,linea_producto,clv_sub,fecha_documento,presupuesto,linea_presupuesto,triangulado,lote_interno,od_linea,codexpe,campo1,campo2,porcentaje,eur_kg,empresa_id,moneda_id,almacen_id,pedido_id,name
1,2023,PV,23000398,2,,2023-07-24,02/10722R,1,5.000,0.000,5.000,0.000,0.00000,0.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,13.23412,,0,0.00000,0.00000,,9,1.000000,,1,4301557,1,,2023-07-04,,,,,2,,,,,,1,9,1_1,1_1_PV_23000398,1_1_PV_23000398_2
1,2023,PV,23000617,4,,2023-12-04,02/10093R,1,3.000,0.000,3.000,0.000,38.60000,38.60000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,54.10633,,0,0.00000,0.00000,,9,1.000000,,1,4301557,1,,2023-11-13,,,,,4,,,,,,1,9,1_1,1_1_PV_23000617,1_1_PV_23000617_4
1,2023,PV,23000647,2,,2023-12-12,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4300240,1,,2023-11-28,,,,,2,,,,,,1,9,1_1,1_1_PV_23000647,1_1_PV_23000647_2
1,2023,PC,23000209,2,,2023-06-13,..13/10567,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000719,1,,2023-06-12,,,,,2,,,,,,1,9,1_1,1_1_PC_23000209,1_1_PC_23000209_2
1,2023,PV,23000541,2,,2023-10-09,..12/00045,1,1.000,1.000,1.000,1.000,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301211,1,,2023-10-04,,,,,2,,,,,,1,9,1_1,1_1_PV_23000541,1_1_PV_23000541_2
1,2023,PC,23000209,4,,2023-06-13,..13/10501,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000719,1,,2023-06-12,,,,,4,,,,,,1,9,1_1,1_1_PC_23000209,1_1_PC_23000209_4
1,2023,PV,23000155,4,,2023-03-30,..,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301680,1,,2023-03-09,,,,,4,,,,,,1,9,1_1,1_1_PV_23000155,1_1_PV_23000155_4
1,2023,PC,23000280,3,,2023-09-18,02/10526AM1,1,90.000,0.000,90.000,0.000,5.23000,5.23000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,25.00000,0.00000,0,0.00000,0.00000,,9,1.000000,,1,4000479,1,,2023-09-07,,,,,3,,,,,,1,9,1_1,1_1_PC_23000280,1_1_PC_23000280_3
1,2023,PC,23000209,5,,2023-06-13,..13/10501,1,1.000,1.000,1.000,1.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,4000719,1,,2023-06-12,,,,,5,,,,,,1,9,1_1,1_1_PC_23000209,1_1_PC_23000209_5
1,2023,PV,23000618,4,,2023-12-11,10/10280,1,24.000,0.000,24.000,0.000,1.75000,1.75000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,0.35119,,0,0.00000,0.00000,,9,1.000000,,1,4301682,1,,2023-11-14,,,,,4,,,,,,1,9,1_1,1_1_PV_23000618,1_1_PV_23000618_4
1,2023,PC,23000056,5,,2023-02-17,AVC20,1,1.000,0.000,1.000,0.000,36.00000,36.00000,1,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,105.87500,0.00000,0,0.00000,0.00000,,9,1.000000,,1,4000479,1,,2023-02-07,,,,,5,,,,,,1,9,1_1,1_1_PC_23000056,1_1_PC_23000056_5
1,2023,PV,23000031,2,,2023-04-20,..04/00053,1,1.000,1.000,1.000,1.000,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,,,0.00000,0.00000,,9,1.000000,,1,4301537,1,,2023-01-16,,,,,2,,,,,,1,9,1_1,1_1_PV_23000031,1_1_PV_23000031_2
