empresa,ejercicio,almacen,documento,tipo_doc,subcta,fecha,importe,moneda,cambio,cambio_euro,asiento,orden,tipo,tpv,clave,empresa_id,ejercicio_id,almacen_id,subcta_id,moneda_id,tpv_id,name
1,2016,1,16000292,SV,4301477,2016-04-07,813.12000,9,1.000000,,,,1,1,1604071638361477,1,1_2016,1_1,1_4301477,9,1_1,1_1
1,2016,1,16000293,SV,4301754,2016-04-07,290.40000,9,1.000000,,,,1,1,1604071648481754,1,1_2016,1_1,1_4301754,9,1_1,1_1
1,2016,1,16000295,SV,4300617,2016-04-07,718.74000,9,1.000000,,,,1,1,1604071712520617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000298,SV,4300228,2016-04-08,975.26000,9,1.000000,,,,1,1,1604080753450228,1,1_2016,1_1,1_4300228,9,1_1,1_1
1,2016,1,16000299,SV,4300711,2016-04-08,562.65000,9,1.000000,,,,1,1,1604080805560711,1,1_2016,1_1,1_4300711,9,1_1,1_1
1,2016,1,16000300,SV,4300012,2016-04-08,283.50000,9,1.000000,,,,1,1,1604080810380012,1,1_2016,1_1,1_4300012,9,1_1,1_1
1,2016,1,16000301,SV,4300012,2016-04-08,141.75000,9,1.000000,,,,1,1,1604080813260012,1,1_2016,1_1,1_4300012,9,1_1,1_1
1,2016,1,16000302,SV,4300012,2016-04-08,40.55000,9,1.000000,,,,1,1,1604080818170012,1,1_2016,1_1,1_4300012,9,1_1,1_1
1,2016,1,16000294,SV,4300617,2016-04-07,101.64000,9,1.000000,,,,1,1,1604081008260617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000277,SV,4300240,2016-04-04,709.74000,9,1.000000,,,,1,1,1604081017400240,1,1_2016,1_1,1_4300240,9,1_1,1_1
1,2016,1,16000286,SV,4301144,2016-04-06,554.66000,9,1.000000,,,,1,1,1604081020501144,1,1_2016,1_1,1_4301144,9,1_1,1_1
1,2016,1,16000303,SV,4300240,2016-04-08,200.38000,9,1.000000,,,,1,1,1604081032530240,1,1_2016,1_1,1_4300240,9,1_1,1_1
1,2016,1,16000304,SV,4300240,2016-04-08,223.85000,9,1.000000,,,,1,1,1604081044410240,1,1_2016,1_1,1_4300240,9,1_1,1_1
1,2016,1,16000305,SV,4301557,2016-04-08,1323.00000,9,1.000000,,,,1,1,1604081652491557,1,1_2016,1_1,1_4301557,9,1_1,1_1
1,2016,1,16000319,SV,4301489,2016-04-15,151.98000,9,1.000000,,,,1,1,1604150808571489,1,1_2016,1_1,1_4301489,9,1_1,1_1
1,2016,1,16000309,SV,4300617,2016-04-11,-87.73000,9,1.000000,,,,1,1,1604120753520617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000310,SV,4301768,2016-04-13,73.81000,9,1.000000,,,,1,1,1604130946321768,1,1_2016,1_1,1_4301768,9,1_1,1_1
1,2016,1,16000314,SV,4301007,2016-04-14,1017.20000,9,1.000000,,,,1,1,1604141039511007,1,1_2016,1_1,1_4301007,9,1_1,1_1
1,2016,1,16000311,SV,4300545,2016-04-13,54.45000,9,1.000000,,,,1,1,1604131146000545,1,1_2016,1_1,1_4300545,9,1_1,1_1
1,2016,1,16000312,SV,4300104,2016-04-13,6213.40000,9,1.000000,,,,1,1,1604131152020104,1,1_2016,1_1,1_4300104,9,1_1,1_1
1,2016,1,16000296,SV,4301682,2016-04-08,2689.23000,9,1.000000,,,,1,1,1604131609431682,1,1_2016,1_1,1_4301682,9,1_1,1_1
1,2016,1,16000355,SV,4300012,2016-04-26,128.60000,9,1.000000,,,,1,1,1604260905390012,1,1_2016,1_1,1_4300012,9,1_1,1_1
1,2016,1,16000306,SV,4300617,2016-04-08,219.37000,9,1.000000,,,,1,1,1604141458470617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000307,SV,4300787,2016-04-11,781.66000,9,1.000000,,,,1,1,1604141500070787,1,1_2016,1_1,1_4300787,9,1_1,1_1
1,2016,1,16000357,SV,4301439,2016-04-26,266.20000,9,1.000000,,,,1,1,1604261131401439,1,1_2016,1_1,1_4301439,9,1_1,1_1
1,2016,1,16000320,SV,4300160,2016-04-15,435.60000,9,1.000000,,,,1,1,1604150812110160,1,1_2016,1_1,1_4300160,9,1_1,1_1
1,2016,1,16000279,SV,4301774,2016-04-20,93.17000,9,1.000000,,,,1,1,1604201632111774,1,1_2016,1_1,1_4301774,9,1_1,1_1
1,2016,1,16000322,SV,4301295,2016-04-15,222.02000,9,1.000000,,,,1,1,1604150816431295,1,1_2016,1_1,1_4301295,9,1_1,1_1
1,2016,1,16000323,SV,4300739,2016-04-15,0.00000,9,1.000000,,,,1,1,1604150828330739,1,1_2016,1_1,1_4300739,9,1_1,1_1
1,2016,1,16000324,SV,4300012,2016-04-15,97.44000,9,1.000000,,,,1,1,1604150938220012,1,1_2016,1_1,1_4300012,9,1_1,1_1
1,2016,1,16000325,SV,4300012,2016-04-15,407.72000,9,1.000000,,,,1,1,1604150939190012,1,1_2016,1_1,1_4300012,9,1_1,1_1
1,2016,1,16000326,SV,4300617,2016-04-15,718.74000,9,1.000000,,,,1,1,1604151101230617,1,1_2016,1_1,1_4300617,9,1_1,1_1
1,2016,1,16000393,SV,4301295,2016-05-06,279.21000,9,1.000000,,,,1,1,1605060816061295,1,1_2016,1_1,1_4301295,9,1_1,1_1
1,2016,1,16000328,SV,4301763,2016-04-18,139.03000,9,1.000000,,,,1,1,1604180729031763,1,1_2016,1_1,1_4301763,9,1_1,1_1
1,2016,1,16000329,SV,4300740,2016-04-18,388.53000,9,1.000000,,,,1,1,1604181627330740,1,1_2016,1_1,1_4300740,9,1_1,1_1
1,2016,1,16000364,SV,4301439,2016-04-28,943.80000,9,1.000000,,,,1,1,1604290733501439,1,1_2016,1_1,1_4301439,9,1_1,1_1
1,2016,1,16000331,SV,4301507,2016-04-19,479.16000,9,1.000000,,,,1,1,1604190751031507,1,1_2016,1_1,1_4301507,9,1_1,1_1
1,2016,1,16000332,SV,4300104,2016-04-19,2587.13000,9,1.000000,,,,1,1,1604190910080104,1,1_2016,1_1,1_4300104,9,1_1,1_1
1,2016,1,16000333,SV,4300048,2016-04-19,33.40000,9,1.000000,,,,1,1,1604190920410048,1,1_2016,1_1,1_4300048,9,1_1,1_1
1,2016,1,16000334,SV,4301630,2016-04-19,231.72000,9,1.000000,,,,1,1,1604190929211630,1,1_2016,1_1,1_4301630,9,1_1,1_1
1,2016,1,16000369,SV,4301644,2016-04-29,184.04000,9,1.000000,,,,1,1,1604290812491644,1,1_2016,1_1,1_4301644,9,1_1,1_1
1,2016,1,16000336,SV,4300048,2016-04-19,3543.39000,9,1.000000,,,,1,1,1604191537370048,1,1_2016,1_1,1_4300048,9,1_1,1_1
1,2016,1,16000337,SV,4301768,2016-04-19,65.34000,9,1.000000,,,,1,1,1604191639061768,1,1_2016,1_1,1_4301768,9,1_1,1_1
1,2016,1,16000316,SV,4300847,2016-04-14,1165.53000,9,1.000000,,,,1,1,1604191756240847,1,1_2016,1_1,1_4300847,9,1_1,1_1
