empresa,ejercicio,documento,tipo_doc,almacen,orden,c1,c2,c3,facturado,empresa_id,almacen_id,documento_id,name
1,2023,23000020,PC,1,1,,,,0,1,1_1,1_1_PC_23000020_1,1_1_PC_23000020_1
1,2023,23000015,PC,1,1,,,,0,1,1_1,1_1_PC_23000015_1,1_1_PC_23000015_1
1,2023,23000015,PC,1,2,,,,0,1,1_1,1_1_PC_23000015_2,1_1_PC_23000015_2
1,2023,23000022,PC,1,1,,,,0,1,1_1,1_1_PC_23000022_1,1_1_PC_23000022_1
1,2023,23000084,PC,1,1,,,,0,1,1_1,1_1_PC_23000084_1,1_1_PC_23000084_1
1,2023,23000084,PC,1,2,,,,0,1,1_1,1_1_PC_23000084_2,1_1_PC_23000084_2
1,2023,23000081,PC,1,1,,,,0,1,1_1,1_1_PC_23000081_1,1_1_PC_23000081_1
1,2023,23000089,PC,1,1,,,,0,1,1_1,1_1_PC_23000089_1,1_1_PC_23000089_1
1,2023,23000090,PC,1,1,,,,0,1,1_1,1_1_PC_23000090_1,1_1_PC_23000090_1
1,2023,23000045,PC,1,1,,,,0,1,1_1,1_1_PC_23000045_1,1_1_PC_23000045_1
1,2023,23000183,PC,1,1,,,,0,1,1_1,1_1_PC_23000183_1,1_1_PC_23000183_1
1,2023,23000183,PC,1,2,,,,0,1,1_1,1_1_PC_23000183_2,1_1_PC_23000183_2
1,2023,23000183,PC,1,3,,,,0,1,1_1,1_1_PC_23000183_3,1_1_PC_23000183_3
1,2023,23000178,PC,1,1,,,,0,1,1_1,1_1_PC_23000178_1,1_1_PC_23000178_1
1,2023,23000178,PC,1,2,,,,0,1,1_1,1_1_PC_23000178_2,1_1_PC_23000178_2
1,2023,23000178,PC,1,3,,,,0,1,1_1,1_1_PC_23000178_3,1_1_PC_23000178_3
1,2023,23000260,PC,1,1,,,,0,1,1_1,1_1_PC_23000260_1,1_1_PC_23000260_1
1,2023,23000260,PC,1,2,,,,0,1,1_1,1_1_PC_23000260_2,1_1_PC_23000260_2
1,2023,23000217,PC,1,1,,,,0,1,1_1,1_1_PC_23000217_1,1_1_PC_23000217_1
1,2023,23000204,PC,1,1,,,,0,1,1_1,1_1_PC_23000204_1,1_1_PC_23000204_1
1,2023,23000243,PC,1,1,,,,0,1,1_1,1_1_PC_23000243_1,1_1_PC_23000243_1
1,2023,23000240,PC,1,1,,,,0,1,1_1,1_1_PC_23000240_1,1_1_PC_23000240_1
1,2023,23000286,PC,1,1,,,,0,1,1_1,1_1_PC_23000286_1,1_1_PC_23000286_1
1,2023,23000286,PC,1,2,,,,0,1,1_1,1_1_PC_23000286_2,1_1_PC_23000286_2
1,2023,23000286,PC,1,3,,,,0,1,1_1,1_1_PC_23000286_3,1_1_PC_23000286_3
1,2023,23000286,PC,1,4,,,,0,1,1_1,1_1_PC_23000286_4,1_1_PC_23000286_4
1,2023,23000316,PC,1,1,,,,0,1,1_1,1_1_PC_23000316_1,1_1_PC_23000316_1
1,2023,23000316,PC,1,2,,,,0,1,1_1,1_1_PC_23000316_2,1_1_PC_23000316_2
1,2023,23000045,PC,1,2,,,,0,1,1_1,1_1_PC_23000045_2,1_1_PC_23000045_2
1,2023,23000061,PC,1,1,,,,0,1,1_1,1_1_PC_23000061_1,1_1_PC_23000061_1
1,2023,23000006,PC,1,1,,,,0,1,1_1,1_1_PC_23000006_1,1_1_PC_23000006_1
1,2023,23000006,PC,1,2,,,,0,1,1_1,1_1_PC_23000006_2,1_1_PC_23000006_2
1,2023,23000018,PC,1,1,,,,0,1,1_1,1_1_PC_23000018_1,1_1_PC_23000018_1
1,2023,23000018,PC,1,2,,,,0,1,1_1,1_1_PC_23000018_2,1_1_PC_23000018_2
1,2023,23000030,PC,1,1,,,,0,1,1_1,1_1_PC_23000030_1,1_1_PC_23000030_1
1,2023,23000019,PC,1,1,,,,0,1,1_1,1_1_PC_23000019_1,1_1_PC_23000019_1
1,2023,23000030,PC,1,2,,,,0,1,1_1,1_1_PC_23000030_2,1_1_PC_23000030_2
1,2023,23000010,PC,1,1,,,,0,1,1_1,1_1_PC_23000010_1,1_1_PC_23000010_1
1,2023,23000010,PC,1,2,,,,0,1,1_1,1_1_PC_23000010_2,1_1_PC_23000010_2
1,2023,23000007,PC,1,1,,,,0,1,1_1,1_1_PC_23000007_1,1_1_PC_23000007_1
