empresa,ejercicio,almacen,fecha_sf,fecha_ef,documento_sf,documento_ef,lote,subcta_c,subcta_s,pedido,linea_pedido,articulo,cantidad_sf,cantidad_ef,observaciones,n_traspaso,estado,of_original,empresa_id,almacen_id,ejercicio_id,name
1,2023,1,2023-01-02,2023-01-09,3118,3118,,4301557,,22000626,,02/10842,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3118
1,2023,1,2023-01-02,2023-01-09,3120,3120,,4301862,,22000657,,02/10846R,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3120
1,2023,1,2023-01-03,2023-01-09,3123,3123,,4300160,,23000004,,03/1531070,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3123
1,2023,1,2023-01-03,2023-01-09,3128,3128,,4300852,,23000005,,03/2321080,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3128
1,2023,1,2023-01-02,2023-01-23,3122,3122,,4301206,,23000001,,02/10847,60.000,60.000,,,1,,1,1_1,1_2023,1_2023_1_3122
1,2023,1,2023-01-16,2023-01-19,3167,3167,,4300617,,23000032,,02/10749,5.000,5.000,,,1,,1,1_1,1_2023,1_2023_1_3167
1,2023,1,2023-01-10,2023-01-12,3133,3133,,4300619,,23000009,,03/6521160,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3133
1,2023,1,2023-01-03,2023-01-09,3129,3129,,4300012,,23000006,,03/10004,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3129
1,2023,1,2023-01-01,2023-01-10,3035,3035,,4300267,,22000629,,02/08467,16.000,16.000,,,1,,1,1_1,1_2023,1_2023_1_3035
1,2023,1,2023-01-02,2023-01-17,3101,3101,,4301865,,22000644,,01/10310,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3101
1,2023,1,2023-01-01,2023-01-17,3071,3071,,4300267,,22000651,,10/90003,32.000,32.000,,,1,,1,1_1,1_2023,1_2023_1_3071
1,2023,1,2023-01-01,2023-01-10,3036,3036,,4300267,,22000629,,02/08469,16.000,16.000,,,1,,1,1_1,1_2023,1_2023_1_3036
1,2023,1,2023-01-02,2023-01-09,3121,3121,,4301173,,22000658,,01/10311,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3121
1,2023,1,2023-01-30,2023-02-07,3207,3207,,4309999,,0,,02/0970001,100.000,100.000,,,1,,1,1_1,1_2023,1_2023_1_3207
1,2023,1,2023-01-01,2023-01-03,3068,3068,,4300617,,22000631,,02/09761A02,200.000,200.000,,,1,,1,1_1,1_2023,1_2023_1_3068
1,2023,1,2023-01-25,2023-01-31,3199,3199,,4300357,,23000058,,01/09874,15.000,15.000,,,1,,1,1_1,1_2023,1_2023_1_3199
1,2023,1,2023-01-01,2023-01-10,3007,3007,,4301864,,22000588,,01/10305,8.000,8.000,,,1,,1,1_1,1_2023,1_2023_1_3007
1,2023,1,2023-01-01,2023-01-10,3032,3032,,4301864,,22000622,,01/10308,8.000,8.000,,,1,,1,1_1,1_2023,1_2023_1_3032
1,2023,1,2023-01-01,2023-01-03,3052,3052,,4301526,,22000634,,04/34300,332.000,332.000,,,1,,1,1_1,1_2023,1_2023_1_3052
1,2023,1,2023-01-01,2023-01-03,3053,3053,,4301526,,22000634,,04/34301,286.000,286.000,,,1,,1,1_1,1_2023,1_2023_1_3053
1,2023,1,2023-01-02,2023-01-03,3107,3107,,4301041,,22000652,,02/10845,25.000,25.000,,,1,,1,1_1,1_2023,1_2023_1_3107
1,2023,1,2023-01-02,2023-01-03,3112,3112,,4301723,,22000659,,02/10191A02,20.000,20.000,,,1,,1,1_1,1_2023,1_2023_1_3112
1,2023,1,2023-01-01,2023-01-03,3065,3065,,4301557,,22000626,,02/1084001,4.000,4.000,,,1,,1,1_1,1_2023,1_2023_1_3065
1,2023,1,2023-01-01,2023-01-03,3066,3066,,4301557,,22000626,,02/1084201,4.000,4.000,,,1,,1,1_1,1_2023,1_2023_1_3066
1,2023,1,2023-02-22,2023-02-27,3299,3299,,4301723,,23000123,,02/10074A,129.000,129.000,,,1,,1,1_1,1_2023,1_2023_1_3299
1,2023,1,2023-01-02,2023-01-26,3114,3114,,4301557,,22000626,,02/1084101,232.000,232.000,,,1,,1,1_1,1_2023,1_2023_1_3114
1,2023,1,2023-01-01,2023-01-10,3037,3037,,4300267,,22000629,,02/08702A,4149.000,4149.000,,,1,,1,1_1,1_2023,1_2023_1_3037
1,2023,1,2023-01-16,2023-01-23,3168,3168,,4301537,,23000031,,04/00053,1500.000,1500.000,,,1,,1,1_1,1_2023,1_2023_1_3168
1,2023,1,2023-01-19,2023-01-23,3177,3177,,4301621,,23000036,,02/10853,40.000,40.000,,,1,,1,1_1,1_2023,1_2023_1_3177
1,2023,1,2023-01-01,2023-01-04,3050,3050,,4300617,,22000632,,02/1084401,1079.000,1079.000,,,1,,1,1_1,1_2023,1_2023_1_3050
1,2023,1,2023-03-27,2023-04-11,3389,3389,,4300576,,23000197,,04/20001,30000.000,30000.000,,,1,,1,1_1,1_2023,1_2023_1_3389
1,2023,1,2023-01-01,2023-01-04,3051,3051,,4300617,,22000632,,02/10844,6.000,6.000,,,1,,1,1_1,1_2023,1_2023_1_3051
1,2023,1,2023-01-03,2023-01-11,3125,3125,,4301682,,23000003,,02/10828A,9.000,9.000,,,1,,1,1_1,1_2023,1_2023_1_3125
1,2023,1,2023-01-02,2023-01-04,3110,3110,,4301723,,22000659,,02/10074A,166.000,166.000,,,1,,1,1_1,1_2023,1_2023_1_3110
1,2023,1,2023-05-16,2023-05-19,3507,3507,,4301173,,23000293,,03/6321065,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3507
1,2023,1,2023-01-20,2023-01-23,3186,3186,,4300357,,0,,01/09700,6.000,6.000,,,1,,1,1_1,1_2023,1_2023_1_3186
1,2023,1,2023-01-10,2023-01-12,3137,3137,,4309999,,0,,10/00586,215.000,215.000,,,1,,1,1_1,1_2023,1_2023_1_3137
1,2023,1,2023-01-19,2023-01-19,3176,3176,,4301621,,23000037,,02/10643R,81.000,81.000,,,1,,1,1_1,1_2023,1_2023_1_3176
1,2023,1,2023-01-10,2023-01-12,3138,3138,,4309999,,0,,10/90031,9.000,9.000,,,1,,1,1_1,1_2023,1_2023_1_3138
1,2023,1,2023-01-02,2023-01-04,3109,3109,,4301723,,22000659,,02/10228,44.000,44.000,,,1,,1,1_1,1_2023,1_2023_1_3109
1,2023,1,2023-03-09,2023-03-10,3340,3340,,4301407,,23000152,,04/01151,532.000,532.000,,,1,,1,1_1,1_2023,1_2023_1_3340
1,2023,1,2023-01-10,2023-01-12,3139,3139,,4309999,,0,,10/90030,45.000,45.000,,,1,,1,1_1,1_2023,1_2023_1_3139
1,2023,1,2023-01-01,2023-01-04,3042,3042,,4300267,,22000630,,02/08720,9657.000,9657.000,,,1,,1,1_1,1_2023,1_2023_1_3042
1,2023,1,2023-02-06,2023-02-20,3254,3254,,4301557,,23000086,,02/10521A01,6558.000,6558.000,,,1,,1,1_1,1_2023,1_2023_1_3254
1,2023,1,2023-02-02,2023-02-14,3240,3240,,4300357,,0,,01/09698,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3240
1,2023,1,2023-01-02,2023-01-26,3117,3117,,4301557,,22000626,,02/1084301,385.000,385.000,,,1,,1,1_1,1_2023,1_2023_1_3117
1,2023,1,2023-01-25,2023-01-26,3197,3197,,4300711,,23000057,,01/09249A,30.000,30.000,,,1,,1,1_1,1_2023,1_2023_1_3197
1,2023,1,2023-01-10,2023-01-19,3135,3135,,4301682,,23000015,,02/10851,10.000,10.000,,,1,,1,1_1,1_2023,1_2023_1_3135
1,2023,1,2023-01-12,2023-01-27,3140,3140,,4309999,,0,,CM.121,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3140
1,2023,1,2023-04-28,2023-05-08,3465,3465,,4300267,,23000261,,02/09311A,185.000,185.000,,,1,,1,1_1,1_2023,1_2023_1_3465
1,2023,1,2023-01-01,2023-01-04,3038,3038,,4300267,,22000629,,02/10008,96.000,96.000,,,1,,1,1_1,1_2023,1_2023_1_3038
1,2023,1,2023-01-19,2023-01-25,3183,3183,,4300194,,23000040,,01/09817,70.000,70.000,,,1,,1,1_1,1_2023,1_2023_1_3183
1,2023,1,2023-01-01,2023-01-04,3039,3039,,4300267,,22000630,,02/10656,80.000,80.000,,,1,,1,1_1,1_2023,1_2023_1_3039
1,2023,1,2023-01-13,2023-01-19,3159,3159,,4301557,,23000027,,02/10046ER,3.000,3.000,,,1,,1,1_1,1_2023,1_2023_1_3159
1,2023,1,2023-01-01,2023-01-04,3041,3041,,4300267,,22000630,,02/10657,16.000,16.000,,,1,,1,1_1,1_2023,1_2023_1_3041
1,2023,1,2023-01-02,2023-01-19,3111,3111,,4301723,,22000659,,02/1007702,69.000,69.000,,,1,,1,1_1,1_2023,1_2023_1_3111
1,2023,1,2023-01-01,2023-01-04,3040,3040,,4300267,,22000630,,02/10655,16.000,16.000,,,1,,1,1_1,1_2023,1_2023_1_3040
1,2023,1,2023-01-12,2023-01-27,3142,3142,,4309999,,0,,PS.084,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3142
1,2023,1,2023-01-31,2023-01-31,3234,3234,,4309999,,0,,.ABC03,17.000,17.000,,,1,,1,1_1,1_2023,1_2023_1_3234
1,2023,1,2023-02-16,2023-02-21,3276,3276,,4301641,,23000107,,03/1431090,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3276
1,2023,1,2023-02-09,2023-02-15,3269,3269,,4301144,,23000097,,01/10309,50.000,50.000,,,1,,1,1_1,1_2023,1_2023_1_3269
1,2023,1,2023-01-24,2023-02-02,3194,3194,,4302013,,23000055,,01/09968A,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3194
1,2023,1,2023-01-12,2023-01-17,3156,3156,,4301609,,23000023,,04/1609100050I,500.000,500.000,,,1,,1,1_1,1_2023,1_2023_1_3156
1,2023,1,2023-01-01,2023-01-17,3067,3067,,4301378,,22000645,,02/09926,10.000,10.000,,,1,,1,1_1,1_2023,1_2023_1_3067
1,2023,1,2023-01-24,2023-02-02,3195,3195,,4302013,,23000055,,01/09969A,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3195
1,2023,1,2023-01-12,2023-01-17,3144,3144,,4301621,,23000019,,02/10643,100.000,100.000,,,1,,1,1_1,1_2023,1_2023_1_3144
1,2023,1,2023-01-12,2023-01-17,3157,3157,,4301609,,23000023,,04/1609075050I,504.000,504.000,,,1,,1,1_1,1_2023,1_2023_1_3157
1,2023,1,2023-01-04,2023-01-12,3131,3131,,4300254,,23000008,,01/10241B,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_3131
1,2023,1,2023-01-12,2023-01-17,3145,3145,,4301621,,23000019,,02/10071,100.000,100.000,,,1,,1,1_1,1_2023,1_2023_1_3145
1,2023,1,2023-01-02,2023-01-12,3106,3106,,4300267,,22000650,,02/08687,6003.000,6003.000,,,1,,1,1_1,1_2023,1_2023_1_3106
1,2023,1,2023-01-24,2023-02-02,3196,3196,,4302013,,23000055,,01/09970A,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3196
1,2023,1,2023-01-02,2023-01-12,3103,3103,,4300267,,22000650,,02/07940,112.000,112.000,,,1,,1,1_1,1_2023,1_2023_1_3103
1,2023,1,2023-01-12,2023-01-17,3146,3146,,4301621,,23000019,,02/10065,100.000,100.000,,,1,,1,1_1,1_2023,1_2023_1_3146
1,2023,1,2023-01-02,2023-01-12,3104,3104,,4300267,,22000650,,02/07961,16.000,16.000,,,1,,1,1_1,1_2023,1_2023_1_3104
1,2023,1,2023-01-13,2023-01-17,3162,3162,,4301557,,23000027,,02/09857AR,7.000,7.000,,,1,,1,1_1,1_2023,1_2023_1_3162
1,2023,1,2023-01-02,2023-01-12,3105,3105,,4300267,,22000650,,02/07962,16.000,16.000,,,1,,1,1_1,1_2023,1_2023_1_3105
1,2023,1,2023-01-16,2023-01-17,3164,3164,,4300837,,23000029,,10/01001R,9.000,9.000,,,1,,1,1_1,1_2023,1_2023_1_3164
1,2023,1,2023-01-10,2023-01-12,3132,3132,,4300768,,23000012,,02/076800001,38.000,38.000,,,1,,1,1_1,1_2023,1_2023_1_3132
1,2023,1,2023-01-30,2023-02-13,3208,3208,,4309999,,0,,02/10623,217.000,217.000,,,1,,1,1_1,1_2023,1_2023_1_3208
1,2023,1,2023-01-01,2023-01-19,2941,2941,,4309999,,0,,.RC,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_2941
1,2023,1,2023-01-17,2023-01-17,3172,3172,,4300880,,23000033,,02/088000002,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3172
1,2023,1,2023-01-02,2023-01-19,3108,3108,,4301723,,22000659,,02/10191B,10.000,10.000,,,1,,1,1_1,1_2023,1_2023_1_3108
1,2023,1,2023-01-31,2023-02-13,3230,3230,,4300267,,23000073,,02/08805B,16.000,16.000,,,1,,1,1_1,1_2023,1_2023_1_3230
1,2023,1,2023-01-23,2023-01-25,3188,3188,,4300617,,23000049,,02/1051501,50.000,50.000,,,1,,1,1_1,1_2023,1_2023_1_3188
1,2023,1,2023-01-01,2023-01-03,2996,2996,,4301703,,22000598,,01/10084A,2.000,2.000,,,1,,1,1_1,1_2023,1_2023_1_2996
1,2023,1,2023-01-01,2023-01-17,3069,3069,,4300267,,22000651,,02/09002,32.000,32.000,,,1,,1,1_1,1_2023,1_2023_1_3069
1,2023,1,2023-01-16,2023-01-17,3169,3169,,4300357,,23000030,,02/09714,7.000,7.000,,,1,,1,1_1,1_2023,1_2023_1_3169
1,2023,1,2023-01-12,2023-01-17,3149,3149,,4301609,,23000022,,04/1609050050,512.000,512.000,,,1,,1,1_1,1_2023,1_2023_1_3149
1,2023,1,2023-01-17,2023-01-19,3170,3170,,4300617,,23000032,,02/1074901,120.000,120.000,,,1,,1,1_1,1_2023,1_2023_1_3170
1,2023,1,2023-01-12,2023-01-17,3151,3151,,4301609,,23000022,,04/1609075050,815.000,815.000,,,1,,1,1_1,1_2023,1_2023_1_3151
1,2023,1,2023-01-12,2023-01-17,3152,3152,,4301609,,23000022,,04/1609100050,999.000,999.000,,,1,,1,1_1,1_2023,1_2023_1_3152
1,2023,1,2023-01-23,2023-01-25,3189,3189,,4300617,,23000049,,02/1051502,50.000,50.000,,,1,,1,1_1,1_2023,1_2023_1_3189
1,2023,1,2023-01-12,2023-01-17,3153,3153,,4301609,,23000022,,04/1609150050,108.000,108.000,,,1,,1,1_1,1_2023,1_2023_1_3153
1,2023,1,2023-01-17,2023-01-19,3171,3171,,4300617,,23000032,,02/1074902,120.000,120.000,,,1,,1,1_1,1_2023,1_2023_1_3171
1,2023,1,2023-01-12,2023-01-17,3154,3154,,4301609,,23000022,,04/1609200050,104.000,104.000,,,1,,1,1_1,1_2023,1_2023_1_3154
1,2023,1,2023-01-12,2023-01-27,3143,3143,,4301167,,23000017,,04/116700001,1.000,1.000,,,1,,1,1_1,1_2023,1_2023_1_3143
1,2023,1,2023-01-12,2023-01-17,3155,3155,,4301609,,23000022,,04/1609100100,599.000,599.000,,,1,,1,1_1,1_2023,1_2023_1_3155
