empresa,almacen,nombre,direccion,poblacion,provincia,pais,cp,telefonos,empresa_id,name
1,1,Almacen 1,"Ctra. N-II Km.592,5",SANT ANDREU DE LA BARCA,8,34,740,936530453-936530106,1,1_1
19,1,Almacen 1,,,8,34,740,936530453,19,19_1
