empresa,codigo,descripcion_1,descripcion_2,v_int,v_dec1,v_dec2,v_char,parametro,empresa_id,name
1,11153,** SUBCTA ACUMULA FECHA ULTIMA COMPRA **'1' Subcta Facturacion,'0' Subcta Contable                     '2' Subcta,,,,,0,1,1_11153
19,11153,** SUBCTA ACUMULA FECHA ULTIMA COMPRA **'1' Subcta Facturacion,'0' Subcta Contable                     '2' Subcta,,,,,0,19,19_11153
999,11153,** SUBCTA ACUMULA FECHA ULTIMA COMPRA **'1' Subcta Facturacion,'0' Subcta Contable                     '2' Subcta,,,,,0,999,999_11153
1,11154,*** GENERACION LINEA AUTOMATICA  TPV ***'0' Opcion Desactivada,'1' Opcion Activada,,,,,0,1,1_11154
19,11154,*** GENERACION LINEA AUTOMATICA  TPV ***'0' Opcion Desactivada,'1' Opcion Activada,,,,,0,19,19_11154
999,11154,*** GENERACION LINEA AUTOMATICA  TPV ***'0' Opcion Desactivada,'1' Opcion Activada,,,,,0,999,999_11154
1,11155,"*CONTROL APERTURA, CIERRE Y COBROS TPV* 0 - Todos los usuarios tienen permiso.",1 - Control permisos por usuario.,,,,,0,1,1_11155
19,11155,"*CONTROL APERTURA, CIERRE Y COBROS TPV* 0 - Todos los usuarios tienen permiso.",1 - Control permisos por usuario.,,,,,0,19,19_11155
999,11155,"*CONTROL APERTURA, CIERRE Y COBROS TPV* 0 - Todos los usuarios tienen permiso.",1 - Control permisos por usuario.,,,,,0,999,999_11155
1,11156,* CONTROL EN EL PAGO CON VALES *        0 - Se puede utilizar en cualquier TPV.,1 - Solo se puede utilizar en el TPV que    lo emitio.,,,,,0,1,1_11156
19,11156,* CONTROL EN EL PAGO CON VALES *        0 - Se puede utilizar en cualquier TPV.,1 - Solo se puede utilizar en el TPV que    lo emitio.,,,,,0,19,19_11156
999,11156,* CONTROL EN EL PAGO CON VALES *        0 - Se puede utilizar en cualquier TPV.,1 - Solo se puede utilizar en el TPV que    lo emitio.,,,,,0,999,999_11156
1,11157,* FECHA CADUCIDAD DE LOS VALES *        0 - No caducan nunca.,"1 - Integer dias caducidad, FIJO        2 - Integer dias caducidad, MODIFICABLE",365,,,,0,1,1_11157
19,11157,* FECHA CADUCIDAD DE LOS VALES *        0 - No caducan nunca.,"1 - Integer dias caducidad, FIJO        2 - Integer dias caducidad, MODIFICABLE",365,,,,0,19,19_11157
999,11157,* FECHA CADUCIDAD DE LOS VALES *        0 - No caducan nunca.,"1 - Integer dias caducidad, FIJO        2 - Integer dias caducidad, MODIFICABLE",365,,,,0,999,999_11157
1,11158,* SUBCUENTA PENDIENTES *                0 - Trabaja sin subcta pendientes.,1 - Trabaja con subcta pendientes.,,,,,0,1,1_11158
19,11158,* SUBCUENTA PENDIENTES *                0 - Trabaja sin subcta pendientes.,1 - Trabaja con subcta pendientes.,,,,,0,19,19_11158
999,11158,* SUBCUENTA PENDIENTES *                0 - Trabaja sin subcta pendientes.,1 - Trabaja con subcta pendientes.,,,,,0,999,999_11158
999,20000,Marca la longitud máxima para las subcuentas contables. El parámetro tiene que,estar activado e indicar la longitud en el campo 'integer'. Máximo 10.,10,,,,1,999,999_20000
