empresa,ejercicio,asiento,orden,fecha_entrada,fecha_contable,usuario,subcta,importe_debe,debe_base,debe_euro,importe_haber,haber_base,haber_euro,tipo,moneda,cambio,cambio_euro,fecha_valor,concepto,descripcion_1,descripcion_2,documento,subcta_contrap,impreso,fecha_impreso,asiento_definitivo,orden_definitivo,diario,procedencia,estado,centro,p_s,p_sd,triangulado,iden,empresa_id,ejercicio_id,subcta_id,moneda_id,subcta_contrap_id,name
1,2023,23000045,1,2023-01-24,2023-01-10,inagasa1,4000038,196.35000,196.35000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,24,Pago Vto. 10/01/2023,201061,22000705,5720000,,,23000041,1,0,320,,,,,,,1,1_2023,1_4000038,9,1_4000038,1_23000045_1
1,2023,23000045,2,2023-01-24,2023-01-10,inagasa1,5720000,0.00000,0.00000,0.00000,196.35000,196.35000,0.00000,H,9,1.000000,0.000000,,51,Remesa s/fra.,FILNAU S.L.,22000705,4000038,S,,23000041,2,0,320,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23000045_2
1,2023,23000046,1,2023-01-24,2023-01-10,inagasa1,4000129,376.59000,376.59000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,24,Pago Vto. 10/01/2023,9020885704,22000756,5720000,,,23000042,1,0,320,,,,,,,1,1_2023,1_4000129,9,1_4000129,1_23000046_1
1,2023,23000046,2,2023-01-24,2023-01-10,inagasa1,5720000,0.00000,0.00000,0.00000,376.59000,376.59000,0.00000,H,9,1.000000,0.000000,,51,Remesa s/fra.,HASTINIK S.A.,22000756,4000129,S,,23000042,2,0,320,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23000046_2
1,2023,23000047,1,2023-01-24,2023-01-10,inagasa1,4000160,176.14000,176.14000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,24,Pago Vto. 10/01/2023,1996,22000736,5720000,,,23000043,1,0,320,,,,,,,1,1_2023,1_4000160,9,1_4000160,1_23000047_1
1,2023,23000047,2,2023-01-24,2023-01-10,inagasa1,5720000,0.00000,0.00000,0.00000,176.14000,176.14000,0.00000,H,9,1.000000,0.000000,,51,Remesa s/fra.,TERESA AMAT LLOBET,22000736,4000160,S,,23000043,2,0,320,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23000047_2
1,2023,23000048,1,2023-01-24,2023-01-10,inagasa1,4000408,2690.07000,2690.07000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,24,Pago Vto. 10/01/2023,223794,22000706,5720000,,,23000044,1,0,320,,,,,,,1,1_2023,1_4000408,9,1_4000408,1_23000048_1
1,2023,23000048,2,2023-01-24,2023-01-10,inagasa1,5720000,0.00000,0.00000,0.00000,2690.07000,2690.07000,0.00000,H,9,1.000000,0.000000,,51,Remesa s/fra.,MECBA S.A.,22000706,4000408,S,,23000044,2,0,320,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23000048_2
1,2023,23000049,1,2023-01-24,2023-01-10,inagasa1,4000479,1963.95000,1963.95000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,24,Pago Vto. 10/01/2023,191371,22000711,5720000,,,23000045,1,0,320,,,,,,,1,1_2023,1_4000479,9,1_4000479,1_23000049_1
1,2023,23000049,2,2023-01-24,2023-01-10,inagasa1,5720000,0.00000,0.00000,0.00000,1963.95000,1963.95000,0.00000,H,9,1.000000,0.000000,,51,Remesa s/fra.,RECAM LASER S.L.,22000711,4000479,S,,23000045,2,0,320,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23000049_2
1,2023,23000050,1,2023-01-24,2023-01-10,inagasa1,4000701,97.56000,97.56000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,24,Pago Vto. 10/01/2023,I0000041033,22000824,5720000,,,23000046,1,0,320,,,,,,,1,1_2023,1_4000701,9,1_4000701,1_23000050_1
1,2023,23000050,2,2023-01-24,2023-01-10,inagasa1,5720000,0.00000,0.00000,0.00000,97.56000,97.56000,0.00000,H,9,1.000000,0.000000,,51,Remesa s/fra.,NEUMATICOS SOLEDAD S,22000824,4000701,S,,23000046,2,0,320,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23000050_2
1,2023,23000051,1,2023-01-24,2023-01-10,inagasa1,4000719,570.52000,570.52000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,24,Pago Vto. 10/01/2023,2022V 745864,22000712,5720000,,,23000047,1,0,320,,,,,,,1,1_2023,1_4000719,9,1_4000719,1_23000051_1
1,2023,23000051,2,2023-01-24,2023-01-10,inagasa1,5720000,0.00000,0.00000,0.00000,570.52000,570.52000,0.00000,H,9,1.000000,0.000000,,51,Remesa s/fra.,ELEKTRA CATALUNYA XX,22000712,4000719,S,,23000047,2,0,320,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23000051_2
1,2023,23000052,1,2023-01-24,2023-01-10,inagasa1,4000749,363.00000,363.00000,0.00000,0.00000,0.00000,0.00000,D,9,1.000000,0.000000,,24,Pago Vto. 10/01/2023,7826,22000739,5720000,,,23000048,1,0,320,,,,,,,1,1_2023,1_4000749,9,1_4000749,1_23000052_1
1,2023,23000052,2,2023-01-24,2023-01-10,inagasa1,5720000,0.00000,0.00000,0.00000,363.00000,363.00000,0.00000,H,9,1.000000,0.000000,,51,Remesa s/fra.,GUINEPLAST S.L.,22000739,4000749,S,,23000048,2,0,320,,,,,,O,1,1_2023,1_5720000,9,1_5720000,1_23000052_2
