empresa,codigo,clv_art,tipo,subcta,idioma,descripcion,empresa_id,codigo_id,name
1,02/10762M,,0,,,"CORT/LASER Ti 112x112x1,5 T52,8 2T10",1,1_02/10762M,"1_02/10762M_CORT/LASER Ti 112x112x1,5 T52,8 2T10"
1,02/10763,,0,,,"BASE Ti 112x112x1,5 T58,8 2T10",1,1_02/10763,"1_02/10763_BASE Ti 112x112x1,5 T58,8 2T10"
1,02/10763M,,0,,,"CORT/LASER Ti 112x112x1,5 T58,8 2T10",1,1_02/10763M,"1_02/10763M_CORT/LASER Ti 112x112x1,5 T58,8 2T10"
1,PR/0754/0003,,0,,,"CATODO PLISADO Fe-1,5 600x650+2TC150",1,1_PR/0754/0003,"1_PR/0754/0003_CATODO PLISADO Fe-1,5 600x650+2TC150"
1,02/10764,,0,,,"SERP.Ti D25,4 1190x1200 PC12 1""G-H",1,1_02/10764,"1_02/10764_SERP.Ti D25,4 1190x1200 PC12 1""G-H"
1,PR/0754/0003-A,,0,,,"CATODO INOX304-1,5 600x650+2TC150",1,1_PR/0754/0003-A,"1_PR/0754/0003-A_CATODO INOX304-1,5 600x650+2TC150"
1,PR/1708/0042,,0,,,"SERP.Ti D25,4 1033x625 P6 3/4""G",1,1_PR/1708/0042,"1_PR/1708/0042_SERP.Ti D25,4 1033x625 P6 3/4""G"
1,PR/1708/0043,,0,,,"SERP.INOX316 D25 1033x625 P6 3/4""",1,1_PR/1708/0043,"1_PR/1708/0043_SERP.INOX316 D25 1033x625 P6 3/4"""
1,03/00215M,,0,,,REST.Ti 5000W 380V L3000 I1000 6792H-V1,1,1_03/00215M,1_03/00215M_REST.Ti 5000W 380V L3000 I1000 6792H-V1
1,01/10275,,0,,,BAST.465x96x63 2BAJx10PZSx2,1,1_01/10275,1_01/10275_BAST.465x96x63 2BAJx10PZSx2
1,01/1027501,,0,,,"PPH 8x62,5x270 20T16+8T5,1",1,1_01/1027501,"1_01/1027501_PPH 8x62,5x270 20T16+8T5,1"
1,01/10275M,,0,,,MZ Fe C/6x32(FRESADO2x10)+M5x12,1,1_01/10275M,1_01/10275M_MZ Fe C/6x32(FRESADO2x10)+M5x12
1,02/10806,,0,,,ESPARREG Ti M8x105 CASQ.D15 BASE D69x5 3T5,1,1_02/10806,1_02/10806_ESPARREG Ti M8x105 CASQ.D15 BASE D69x5 3T5
1,02/08805R,,0,,,"CAPÇAL SUPERIOR Ti-1,5  8 BAIXANTS a 29 REP.",1,1_02/08805R,"1_02/08805R_CAPÇAL SUPERIOR Ti-1,5  8 BAIXANTS a 29 REP."
1,02/0880501,,0,,,"CARTELA SUPERIOR Ti-1,5  8 BAIXANTS a 29",1,1_02/0880501,"1_02/0880501_CARTELA SUPERIOR Ti-1,5  8 BAIXANTS a 29"
