empresa,ejercicio,tipo_movimiento,albaran,linea_albaran,linea_pedido,articulo,acumula,cantidad,bultos,precio,precio_iva,tipo_precio,descuento_1,descuento_2,descuento_3,comision_1,comision_2,comision_3,tipo_iva,variante,iva,recargo_e,precio_coste,pts_kl,aplic_pt_kl,total_linea,total_linea_base,total_linea_euro,moneda,cambio,cambio_euro,almacen,pedido,subcta,linea_producto,clv_sub,fecha_documento,factura,linea_factura,fecha_factura,centro_coste,gastos_exped,facturado,presupuesto,linea_presupuesto,triangulado,lote_interno,od_linea,codexpe,campo1,campo2,porcentaje,eur_kg,empresa_id,moneda_id,almacen_id,albaran_id,factura_id,name
1,2023,SV,23000533,1,1,02/0980601,1,100.000,0.000,0.78000,0.78000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,0.38315,,0,78.00000,78.00000,,9,1.000000,,1,23000473,4300617,1,,2023-09-08,23000376,3,2023-09-15,,,1,,1,,,1,,,,,,1,9,1_1,1_1_SV_23000533,1_1_FV_23000376,1_1_SV_23000533_1
1,2023,SV,23000543,1,1,02/09848R,1,27.000,0.000,92.50000,92.50000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,52.79032,,0,2497.50000,2497.50000,,9,1.000000,,1,23000460,4300200,1,,2023-09-14,23000375,1,2023-09-15,,,1,,1,,,1,,,,,,1,9,1_1,1_1_SV_23000543,1_1_FV_23000375,1_1_SV_23000543_1
1,2023,SV,23000527,2,2,02/10218C01,1,200.000,0.000,9.70000,9.70000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,3.55000,,0,1940.00000,1940.00000,,9,1.000000,,1,23000415,4300617,1,,2023-09-06,23000376,2,2023-09-15,,,1,,2,,,9,,,,,,1,9,1_1,1_1_SV_23000527,1_1_FV_23000376,1_1_SV_23000527_2
1,2023,SV,23000527,1,1,02/10221,1,200.000,0.000,4.20000,4.20000,0,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,1.14000,,0,840.00000,840.00000,,9,1.000000,,1,23000415,4300617,1,,2023-09-06,23000376,1,2023-09-15,,,1,,1,,,8,,,,,,1,9,1_1,1_1_SV_23000527,1_1_FV_23000376,1_1_SV_23000527_1
1,2023,EC,23000407,2,2,..,0,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,23000281,4000163,1,,2023-09-12,23000604,2,2023-09-15,000,,1,,,,,2,,,,,0.00000,1,9,1_1,1_1_EC_23000407,1_1_FC_23000604,1_1_EC_23000407_2
1,2023,EC,23000407,3,3,..,0,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,23000281,4000163,1,,2023-09-12,23000604,3,2023-09-15,000,,1,,,,,3,,,,,0.00000,1,9,1_1,1_1_EC_23000407,1_1_FC_23000604,1_1_EC_23000407_3
1,2023,EC,23000407,4,4,..,0,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,23000281,4000163,1,,2023-09-12,23000604,4,2023-09-15,000,,1,,,,,4,,,,,0.00000,1,9,1_1,1_1_EC_23000407,1_1_FC_23000604,1_1_EC_23000407_4
1,2023,EC,23000407,5,5,..,0,0.000,0.000,0.00000,0.00000,,0.00,0.00,0.00,0.00,0.00,0.00,0,STAND,0.00,0.00,0.00000,0.00000,,0.00000,0.00000,,9,1.000000,,1,23000281,4000163,1,,2023-09-12,23000604,5,2023-09-15,000,,1,,,,,5,,,,,0.00000,1,9,1_1,1_1_EC_23000407,1_1_FC_23000604,1_1_EC_23000407_5
1,2023,EC,23000414,1,,.PAP-T,1,1.000,0.000,9.42000,9.42000,3,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,9.42000,0.00000,0,9.42000,9.42000,,9,1.000000,,1,0,4000072,1,,2023-09-14,23000606,1,2023-09-15,000,,1,,,,,,,,,,0.00000,1,9,1_1,1_1_EC_23000414,1_1_FC_23000606,1_1_EC_23000414_1
1,2023,EC,23000414,2,,.PAP-T,1,1.000,0.000,9.92000,9.92000,3,0.00,0.00,0.00,0.00,0.00,0.00,1,STAND,21.00,0.00,9.92000,0.00000,0,9.92000,9.92000,,9,1.000000,,1,0,4000072,1,,2023-09-14,23000606,2,2023-09-15,000,,1,,,,,,,,,,0.00000,1,9,1_1,1_1_EC_23000414,1_1_FC_23000606,1_1_EC_23000414_2
