empresa,codigo,clv_art,codigo_a,tipo,tipo_art,ficha_cerrada,fecha_baja,empresa_id,name
1,.YESMSV,,Y,7,,,,1,1_.YESMSV
1,.W987,,W,9,,,,1,1_.W987
1,12/80201,,CV12,6,,1,2002-01-01,1,1_12/80201
1,12/PP00015M,,CV12,6,,0,,1,1_12/PP00015M
1,54/34008,,TA54,1,,,,1,1_54/34008
1,12/70209,,CV12,6,,0,,1,1_12/70209
1,12/PG05011,,CV12,6,,0,,1,1_12/PG05011
1,.5,,PI05,5,,,,1,1_.5
1,PR/0820/0027,,TI02,2,,0,,1,1_PR/0820/0027
1,02/09443R,,TI02,2,,0,,1,1_02/09443R
1,13/9,,CA13,3,,0,,1,1_13/9
1,PR/1645/0006,,TA01,1,,0,,1,1_PR/1645/0006
1,.W1,,W,9,,0,,1,1_.W1
1,04/063200002,,PL04,4,,0,,1,1_04/063200002
1,55/00503MP,,TI55,2,,0,,1,1_55/00503MP
1,02/08748A,,TI02,2,,0,,1,1_02/08748A
1,02/08656AR,,TI02,2,,0,,1,1_02/08656AR
1,01/09028,,TA01,1,,0,,1,1_01/09028
1,02/08775,,TI02,2,,0,,1,1_02/08775
1,52/450108,,TA52,1,,0,,1,1_52/450108
1,02/08774,,TI02,2,,0,,1,1_02/08774
1,01/09027R,,TA01,1,,0,,1,1_01/09027R
1,01/00337CR,,TA01,1,,0,,1,1_01/00337CR
1,01/08951R,,TA01,1,,0,,1,1_01/08951R
1,01/00369,,TA01,1,,0,,1,1_01/00369
1,02/08776,,TI02,2,,0,,1,1_02/08776
1,03/00398,,CA03,3,,0,,1,1_03/00398
1,03/00099RM,,CA03,3,,0,,1,1_03/00099RM
1,53/451510,,TA53,1,,0,,1,1_53/451510
1,03/2321050,,CA03,3,,0,,1,1_03/2321050
1,01/00370,,TA01,1,,0,,1,1_01/00370
1,01/09028M,,TA01,1,,0,,1,1_01/09028M
1,01/09028M1,,TA01,1,,0,,1,1_01/09028M1
1,03/2221050,,CA03,3,,0,,1,1_03/2221050
1,02/08777,,TI02,2,,0,,1,1_02/08777
1,02/08777M,,TI02,2,,0,,1,1_02/08777M
1,02/0775601,,TI02,2,,0,,1,1_02/0775601
1,01/08926R,,TA01,1,,0,,1,1_01/08926R
1,12/PG04983,,CV12,6,,0,,1,1_12/PG04983
1,01/00371,,TA01,1,,0,,1,1_01/00371
1,02/08558AR,,TI02,2,,0,,1,1_02/08558AR
1,01/08813,,TA01,1,,0,,1,1_01/08813
1,12/252509,,CV12,6,,0,,1,1_12/252509
1,01/08806A,,TA01,1,,0,,1,1_01/08806A
1,01/08806AM,,TA01,1,,0,,1,1_01/08806AM
1,01/09027,,TA01,1,,,,1,1_01/09027
1,54/994010MP,,TA54,1,,0,,1,1_54/994010MP
1,01/09030,,TA01,1,,0,,1,1_01/09030
1,01/09031,,TA01,1,,0,,1,1_01/09031
1,01/09032,,TA01,1,,0,,1,1_01/09032
1,01/09033,,TA01,1,,0,,1,1_01/09033
1,12/00450,,CV12,6,,0,,1,1_12/00450
1,01/09034,,TA01,1,,0,,1,1_01/09034
1,02/08774R,,TI02,2,,0,,1,1_02/08774R
1,03/5531070,,CA03,3,,0,,1,1_03/5531070
1,02/08370A,,TI02,2,,0,,1,1_02/08370A
1,01/09038,,TA01,1,,0,,1,1_01/09038
1,ABCA,,,3,,0,,1,1_ABCA
1,03/00214,,CA03,3,,0,,1,1_03/00214
1,91/03021,,XTA91,8,,,,1,1_91/03021
1,03/00183R,,CA03,3,,0,,1,1_03/00183R
1,02/08778,,TI02,2,,0,,1,1_02/08778
1,02/08779,,TI02,2,,0,,1,1_02/08779
1,01/09035,,TA01,1,,0,,1,1_01/09035
1,12/252010,,CV12,6,,0,,1,1_12/252010
1,12/80662,,CV12,6,,0,,1,1_12/80662
1,02/09971,,TI02,2,,0,,1,1_02/09971
1,02/08242M,,TI02,2,,0,,1,1_02/08242M
1,03/00215,,CA03,3,,0,,1,1_03/00215
1,12/80962,,CV12,6,,0,,1,1_12/80962
1,02/07999,,TI02,2,,0,,1,1_02/07999
1,02/08782,,TI02,2,,0,,1,1_02/08782
1,01/08891AR,,TA01,1,,0,,1,1_01/08891AR
1,12/900221,,CV12,6,,0,,1,1_12/900221
1,12/900221M,,CV12,6,,0,,1,1_12/900221M
1,12/PP00023,,CV12,6,,0,,1,1_12/PP00023
1,01/09029,,TA01,1,,0,,1,1_01/09029
1,04/20026,,PL04,4,,0,,1,1_04/20026
1,01/09037,,TA01,1,,0,,1,1_01/09037
1,01/09037R,,TA01,1,,0,,1,1_01/09037R
1,01/08813-4,,TA01,1,,0,,1,1_01/08813-4
1,01/0881304M,,TA01,1,,0,,1,1_01/0881304M
1,01/08813-29,,TA01,1,,0,,1,1_01/08813-29
1,01/08813-30,,TA01,1,,0,,1,1_01/08813-30
1,01/08813-34,,TA01,1,,0,,1,1_01/08813-34
1,01/08813-35,,TA01,1,,0,,1,1_01/08813-35
1,01/08813-56,,TA01,1,,0,,1,1_01/08813-56
1,02/08784,,TI02,2,,0,,1,1_02/08784
1,02/08785,,TI02,2,,0,,1,1_02/08785
1,02/08786,,TI02,2,,0,,1,1_02/08786
1,12/RQ00018,,CV12,6,,0,,1,1_12/RQ00018
1,12/80686,,CV12,6,,0,,1,1_12/80686
1,01/09005B,,TA01,1,,0,,1,1_01/09005B
1,01/09009B,,TA01,1,,0,,1,1_01/09009B
1,01/09007B,,TA01,1,,0,,1,1_01/09007B
1,03/00216,,CA03,3,,0,,1,1_03/00216
1,01/09039,,TA01,1,,0,,1,1_01/09039
1,01/09040,,TA01,1,,0,,1,1_01/09040
1,01/09041,,TA01,1,,0,,1,1_01/09041
1,01/09042,,TA01,1,,0,,1,1_01/09042
1,57/00004,,TA57,1,,0,,1,1_57/00004
