empresa,subcta,linea_producto,clv_sub,subcta_contable,subcta_facturacion,zona_comercial,categoria,categoria_rappel,categoria_oferta,ficha_cerrada,fecha_alta,fecha_baja,subcta_contra,empresa_id,subcta_contable_id,subcta_facturacion_id,name
1,4301259,1,,4301259,4301259,3,0,,,1,1998-11-16,2003-03-13,,1,1_4301259,1_4301259,1_4301259
1,4301052,1,,4301052,4301052,5,NO VISITA,,,1,1996-11-27,2011-04-15,,1,1_4301052,1_4301052,1_4301052
1,4300668,1,,4300668,4300668,48,0,,,1,1995-11-20,2003-03-06,,1,1_4300668,1_4300668,1_4300668
1,4301082,1,,4301082,4301082,9,0,,,1,1996-11-27,1997-04-04,,1,1_4301082,1_4301082,1_4301082
1,4301133,1,,4301133,4301133,28,0,,,0,1996-06-25,2011-02-28,,1,1_4301133,1_4301133,1_4301133
1,4300575,1,,4300575,4300575,4,0,,,1,1995-11-16,2003-03-06,,1,1_4300575,1_4300575,1_4300575
1,4300091,1,,4300091,4300091,82,0,,,1,1995-11-14,2011-02-21,,1,1_4300091,1_4300091,1_4300091
1,4300289,1,,4300289,4300289,46,0,,,1,1995-11-14,2003-03-06,,1,1_4300289,1_4300289,1_4300289
1,4301147,1,,4301147,4301147,5,0,,,1,1996-11-11,2001-08-09,,1,1_4301147,1_4301147,1_4301147
1,4301065,1,,4301065,4301065,1,0,,,1,1996-11-27,1997-01-01,,1,1_4301065,1_4301065,1_4301065
1,4300846,1,,4300846,4300846,82,0,,,1,1995-11-20,2001-08-09,,1,1_4300846,1_4300846,1_4300846
1,4301273,1,,4301273,4301273,6,0,,,1,1999-02-17,2008-01-01,,1,1_4301273,1_4301273,1_4301273
1,4000408,1,,4000408,4000408,77,,,,0,1995-11-15,,,1,1_4000408,1_4000408,1_4000408
1,4300491,1,,4300491,4300491,41,0,,,1,1995-11-16,2003-03-06,,1,1_4300491,1_4300491,1_4300491
1,4301039,1,,4301039,4301039,77,0,,,1,1995-11-21,2011-04-15,,1,1_4301039,1_4301039,1_4301039
1,4301175,1,,4301175,4301175,6,0,,,1,1997-04-17,2011-02-21,,1,1_4301175,1_4301175,1_4301175
1,4300381,1,,4300381,4300381,1,0,,,1,1995-11-15,2000-01-01,,1,1_4300381,1_4300381,1_4300381
1,4300204,1,,4300204,4300204,6,0,,,1,1995-11-14,2003-03-06,,1,1_4300204,1_4300204,1_4300204
1,4301036,1,,4301036,4301036,81,0,,,1,1996-11-26,2011-04-25,,1,1_4301036,1_4301036,1_4301036
1,4300924,1,,4300924,4300924,8,0,,,1,1996-11-26,2003-03-06,,1,1_4300924,1_4300924,1_4300924
1,4301055,1,,4301055,4301055,8,0,,,1,1996-11-27,1997-04-16,,1,1_4301055,1_4301055,1_4301055
1,4300795,1,,4300795,4300795,43,0,,,1,1996-11-25,2003-01-01,,1,1_4300795,1_4300795,1_4300795
1,4301682,1,,4301682,4301682,41,,,,0,2011-07-25,,,1,1_4301682,1_4301682,1_4301682
1,4300029,1,,4300029,4300029,22,0,,,1,1995-11-10,2011-02-17,,1,1_4300029,1_4300029,1_4300029
1,4300608,1,,4300608,4300608,9,0,,,0,1996-11-22,2011-02-28,,1,1_4300608,1_4300608,1_4300608
1,4300625,1,,4300625,4300625,48,0,,,1,1995-11-16,2010-05-07,,1,1_4300625,1_4300625,1_4300625
1,4301302,1,,4301302,4301302,3,0,,,1,1999-11-17,2001-08-09,,1,1_4301302,1_4301302,1_4301302
1,4300110,1,,4300110,4300110,8,0,,,1,1995-11-13,2011-02-21,,1,1_4300110,1_4300110,1_4300110
1,4300722,1,,4300722,4300722,77,0,,,1,1996-11-25,2000-01-01,,1,1_4300722,1_4300722,1_4300722
1,4301088,1,,4301088,4301088,9,0,,,1,1996-11-27,1997-03-07,,1,1_4301088,1_4301088,1_4301088
1,4301166,1,,4301166,4301166,28,0,,,1,1997-03-03,2003-01-01,,1,1_4301166,1_4301166,1_4301166
1,4300363,1,,4300363,4300363,10,0,,,1,1995-11-14,1998-10-01,,1,1_4300363,1_4300363,1_4300363
1,4301104,1,,4301104,4301104,13,4301104,,,1,1995-11-21,2000-01-01,,1,1_4301104,1_4301104,1_4301104
1,4301089,1,,4301089,4301089,8,0,,,1,1998-12-11,2010-11-23,,1,1_4301089,1_4301089,1_4301089
1,4301196,1,,4301196,4301196,28,0,,,1,1997-08-01,2011-04-26,,1,1_4301196,1_4301196,1_4301196
1,4300567,1,,4300567,4300567,81,0,,,0,1999-02-25,2011-02-28,,1,1_4300567,1_4300567,1_4300567
1,4300960,1,,4300960,4300960,17,1,,,1,1996-09-25,2011-04-13,,1,1_4300960,1_4300960,1_4300960
1,4301386,1,,4301386,4301386,3,A,,,1,2000-10-27,2011-02-21,,1,1_4301386,1_4301386,1_4301386
1,4300202,1,,4300202,4300202,1,0,,,1,1995-11-14,2000-01-01,,1,1_4300202,1_4300202,1_4300202
1,4301071,1,,4301071,4301071,50,0,,,1,1996-11-27,2003-01-01,,1,1_4301071,1_4301071,1_4301071
1,4301199,1,,4301199,4301199,81,0,,,1,1997-09-01,2003-03-06,,1,1_4301199,1_4301199,1_4301199
1,4300834,1,,4300834,4300834,50,NO_VISITA,,,1,1995-11-20,2011-04-04,,1,1_4300834,1_4300834,1_4300834
1,4000560,1,,4000560,4000560,77,,,,0,2002-10-25,,,1,1_4000560,1_4000560,1_4000560
1,4301225,1,,4301225,4301225,77,0,,,1,1997-12-18,2004-09-01,,1,1_4301225,1_4301225,1_4301225
1,4301660,1,,4301660,4301660,82,,,,1,2010-06-16,,,1,1_4301660,1_4301660,1_4301660
1,4301275,1,,4301275,4301275,9,0,,,1,1999-03-12,2003-03-06,,1,1_4301275,1_4301275,1_4301275
1,4000419,1,,4000419,4000419,77,,,,0,1996-05-01,2011-03-07,,1,1_4000419,1_4000419,1_4000419
1,4301663,1,,4301663,4301663,,,,,0,2010-08-30,,,1,1_4301663,1_4301663,1_4301663
1,4000105,1,,4000105,4000105,77,,,,1,1996-05-04,2011-03-02,,1,1_4000105,1_4000105,1_4000105
1,4300666,1,,4300666,4300666,25,0,,,1,1996-11-22,2000-01-01,,1,1_4300666,1_4300666,1_4300666
1,4000714,1,,4000714,4000714,,,,,0,2013-11-26,,,1,1_4000714,1_4000714,1_4000714
1,4300106,1,,4300106,4300106,28,0,,,1,1995-11-13,2007-05-17,,1,1_4300106,1_4300106,1_4300106
1,4301418,1,,4301418,4301418,4,S,,,1,2002-01-10,2010-01-01,,1,1_4301418,1_4301418,1_4301418
1,4300262,1,,4300262,4300262,7,S,,,1,1995-11-14,2008-12-18,,1,1_4300262,1_4300262,1_4300262
1,4300730,1,,4300730,4300730,8,0,,,0,1995-11-20,2011-02-28,,1,1_4300730,1_4300730,1_4300730
1,4301128,1,,4301128,4301128,22,0,,,1,1996-05-14,2008-12-18,,1,1_4301128,1_4301128,1_4301128
1,4301373,1,,4301373,4301373,36,0,,,1,2000-05-29,2003-01-01,,1,1_4301373,1_4301373,1_4301373
1,4301114,1,,4301114,4301114,13,0,,,1,1997-01-01,2002-03-01,,1,1_4301114,1_4301114,1_4301114
1,4301186,1,,4301186,4301186,5,0,,,1,1997-07-01,2003-03-25,,1,1_4301186,1_4301186,1_4301186
1,4300473,1,,4300473,4300473,8,0,,,0,1995-11-16,2011-02-28,,1,1_4300473,1_4300473,1_4300473
1,4301015,1,,4301015,4301015,28,0,,,0,1996-03-18,2011-02-28,,1,1_4301015,1_4301015,1_4301015
1,4300901,1,,4300901,4300901,22,0,,,1,1996-11-26,2003-03-06,,1,1_4300901,1_4300901,1_4300901
1,4310003,1,,4310003,4310003,1,0,,,1,2004-01-14,2005-02-15,,1,1_4310003,1_4310003,1_4310003
1,4301360,1,,4301360,4301360,3,A,,,1,1999-12-27,2011-02-24,,1,1_4301360,1_4301360,1_4301360
1,4301239,1,,4301239,4301239,1,0,,,1,1998-04-01,2004-12-02,,1,1_4301239,1_4301239,1_4301239
1,4301169,1,,4301169,4301169,8,1,,,1,1997-03-24,2011-02-21,,1,1_4301169,1_4301169,1_4301169
1,4300276,1,,4300276,4300276,46,0,,,1,1995-11-14,2011-03-28,,1,1_4300276,1_4300276,1_4300276
1,4301146,1,,4301146,4301146,4,0,,,1,1996-11-07,1997-06-01,,1,1_4301146,1_4301146,1_4301146
1,4300750,1,,4300750,4300750,77,0,,,1,1996-11-25,2011-02-28,,1,1_4300750,1_4300750,1_4300750
1,4301075,1,,4301075,4301075,77,0,,,1,1996-11-27,1997-01-01,,1,1_4301075,1_4301075,1_4301075
1,4300437,1,,4300437,4300437,43,0,,,1,1995-11-16,2004-12-14,,1,1_4300437,1_4300437,1_4300437
1,4301066,1,,4301066,4301066,82,0,,,1,1996-11-27,2003-03-06,,1,1_4301066,1_4301066,1_4301066
1,4300793,1,,4300793,4300793,77,0,,,0,1996-11-25,2011-04-04,,1,1_4300793,1_4300793,1_4300793
1,4301280,1,,4301280,4301280,80,0,,,1,1999-04-22,2005-01-01,,1,1_4301280,1_4301280,1_4301280
1,4301074,1,,4301074,4301074,46,0,,,1,1996-11-27,2003-03-06,,1,1_4301074,1_4301074,1_4301074
1,4300947,1,,4300947,4300947,77,0,,,1,1995-11-20,2001-08-09,,1,1_4300947,1_4300947,1_4300947
1,4300865,1,,4300865,4300865,8,0,,,1,1996-11-25,2008-03-13,,1,1_4300865,1_4300865,1_4300865
1,4300571,1,,4300571,4300571,9,0,,,1,1995-11-16,2008-03-01,,1,1_4300571,1_4300571,1_4300571
1,4301150,1,,4301150,4301150,81,0,,,1,1996-11-26,2003-03-06,,1,1_4301150,1_4301150,1_4301150
1,4301027,1,,4301027,4301027,82,0,,,1,1996-11-26,2004-12-14,,1,1_4301027,1_4301027,1_4301027
1,4301178,1,,4301178,4301178,50,0,,,1,1997-04-25,2010-07-15,,1,1_4301178,1_4301178,1_4301178
1,4301103,1,,4301103,4301103,41,0,,,1,1995-11-21,2003-01-01,,1,1_4301103,1_4301103,1_4301103
1,4301177,1,,4301177,4301177,9,0,,,1,1997-04-18,2008-03-01,,1,1_4301177,1_4301177,1_4301177
1,4300893,1,,4300893,4300893,7,A,,,0,1996-11-26,2011-02-21,,1,1_4300893,1_4300893,1_4300893
1,4300054,1,,4300054,4300054,16,0,,,1,1995-11-13,2011-02-21,,1,1_4300054,1_4300054,1_4300054
1,4300882,1,,4300882,4300882,17,0,,,1,1997-02-06,1999-01-01,,1,1_4300882,1_4300882,1_4300882
1,4300306,1,,4300306,4300306,41,0,,,1,1995-11-14,2011-03-29,,1,1_4300306,1_4300306,1_4300306
1,4301301,1,,4301301,4301301,28,0,,,1,1999-11-12,2010-05-21,,1,1_4301301,1_4301301,1_4301301
1,4301086,1,,4301086,4301086,6,0,,,1,1996-11-27,1997-03-13,,1,1_4301086,1_4301086,1_4301086
1,4000582,1,,4000582,4000582,,,,,1,2004-02-18,2010-09-01,,1,1_4000582,1_4000582,1_4000582
1,4300206,1,,4300206,4300206,82,0,,,1,1995-11-14,1998-01-01,,1,1_4300206,1_4300206,1_4300206
1,4000719,1,,4000719,4000719,,,,,0,2014-06-30,,,1,1_4000719,1_4000719,1_4000719
1,4301101,1,,4301101,4301101,41,0,,,1,1995-11-21,1996-05-31,,1,1_4301101,1_4301101,1_4301101
1,4302069,1,,4302069,4302069,10,0,,,1,1996-11-27,2003-03-06,,1,1_4302069,1_4302069,1_4302069
1,4301304,1,,4301304,4301304,8,0,,,1,1999-12-27,2004-12-14,,1,1_4301304,1_4301304,1_4301304
1,4300393,1,,4300393,4300393,81,0,,,1,1995-11-15,1996-01-01,,1,1_4300393,1_4300393,1_4300393
1,4301198,1,,4301198,4301198,10,0,,,0,1997-08-25,2011-02-21,,1,1_4301198,1_4301198,1_4301198
1,4300027,1,,4300027,4300027,48,0,,,0,1995-11-10,2011-02-28,,1,1_4300027,1_4300027,1_4300027
1,4300935,1,,4300935,4300935,10,0,,,1,1995-11-20,2001-08-09,,1,1_4300935,1_4300935,1_4300935
1,4301063,1,,4301063,4301063,41,0,,,1,1996-11-27,2011-04-15,,1,1_4301063,1_4301063,1_4301063
1,4000721,1,,4000721,4000721,,,,,0,2014-07-04,,,1,1_4000721,1_4000721,1_4000721
1,4300812,1,,4300812,4300812,9,0,,,1,1997-03-17,2009-04-15,,1,1_4300812,1_4300812,1_4300812
1,4300769,1,,4300769,4300769,6,0,,,1,1995-11-20,2008-12-18,,1,1_4300769,1_4300769,1_4300769
1,4300457,1,,4300457,4300457,9,0,,,1,1997-08-25,2003-01-01,,1,1_4300457,1_4300457,1_4300457
1,4000730,1,,4000730,4000730,,,,,0,2015-05-22,,,1,1_4000730,1_4000730,1_4000730
1,4300974,1,,4300974,4300974,8,0,,,1,1996-11-26,1997-02-25,,1,1_4300974,1_4300974,1_4300974
1,4301379,1,,4301379,4301379,2,0,,,1,2000-07-11,2004-12-02,,1,1_4301379,1_4301379,1_4301379
1,4301384,1,,4301384,4301384,22,NO VISITA,,,1,2000-09-22,2010-05-12,,1,1_4301384,1_4301384,1_4301384
1,4000152,1,,4000152,4000152,77,,,,0,1995-11-15,1997-11-15,,1,1_4000152,1_4000152,1_4000152
1,4000668,1,,4000668,4000668,,,,,0,2010-07-01,,,1,1_4000668,1_4000668,1_4000668
1,4301094,1,,4301094,4301094,3,0,,,1,1995-11-21,2004-01-01,,1,1_4301094,1_4301094,1_4301094
1,4300879,1,,4300879,4300879,28,0,,,1,1996-11-25,2011-04-04,,1,1_4300879,1_4300879,1_4300879
1,4301049,1,,4301049,4301049,3,0,,,1,1996-11-27,2003-03-06,,1,1_4301049,1_4301049,1_4301049
1,4301291,1,,4301291,4301291,48,0,,,1,1999-09-14,2002-09-02,,1,1_4301291,1_4301291,1_4301291
1,4301359,1,,4301359,4301359,2,0,,,1,1999-12-15,2001-08-09,,1,1_4301359,1_4301359,1_4301359
1,4300841,1,,4300841,4300841,47,0,,,1,1996-11-25,2004-12-02,,1,1_4300841,1_4300841,1_4300841
1,4300100,1,,4300100,4300100,16,0,,,1,1996-05-16,2001-08-09,,1,1_4300100,1_4300100,1_4300100
1,4301179,1,,4301179,4301179,10,0,,,0,1997-05-05,2011-02-28,,1,1_4301179,1_4301179,1_4301179
1,4300059,1,,4300059,4300059,7,0,,,1,1995-11-14,2003-03-06,,1,1_4300059,1_4300059,1_4300059
1,4300590,1,,4300590,4300590,13,0,,,1,1995-11-16,2001-08-09,,1,1_4300590,1_4300590,1_4300590
1,4301121,1,,4301121,4301121,5,0,,,1,1996-02-15,2004-12-14,,1,1_4301121,1_4301121,1_4301121
1,4000711,1,,4000711,4000711,,,,,0,2013-11-07,,,1,1_4000711,1_4000711,1_4000711
1,4301093,1,,4301093,4301093,8,0,,,1,1995-11-21,2011-04-15,,1,1_4301093,1_4301093,1_4301093
1,4301160,1,,4301160,4301160,7,0,,,1,1997-01-21,2003-03-06,,1,1_4301160,1_4301160,1_4301160
1,4301152,1,,4301152,4301152,43,0,,,1,1996-11-28,2003-05-13,,1,1_4301152,1_4301152,1_4301152
1,4300022,1,,4300022,4300022,1,0,,,1,1995-11-10,2003-02-27,,1,1_4300022,1_4300022,1_4300022
1,4300704,1,,4300704,4300704,1,0,,,1,1995-11-20,1996-01-01,,1,1_4300704,1_4300704,1_4300704
1,4301681,1,,4301681,4301681,82,,,,0,2011-07-15,,,1,1_4301681,1_4301681,1_4301681
1,4301491,1,,4301491,4301491,7,"",,,0,2012-01-23,,,1,1_4301491,1_4301491,1_4301491
1,4300323,1,,4300323,4300323,22,0,,,1,1995-11-14,2002-01-01,,1,1_4300323,1_4300323,1_4300323
1,4301412,1,,4301412,4301412,77,0,,,1,2001-10-25,2004-12-02,,1,1_4301412,1_4301412,1_4301412
1,4300049,1,,4300049,4300049,81,0,,,1,1995-11-10,2008-10-01,,1,1_4300049,1_4300049,1_4300049
1,4301162,1,,4301162,4301162,17,0,,,1,1997-01-29,2011-04-21,,1,1_4301162,1_4301162,1_4301162
1,4300329,1,,4300329,4300329,4,A,,,1,1995-11-14,2011-03-29,,1,1_4300329,1_4300329,1_4300329
1,4000712,1,,4000712,4000712,,,,,0,2013-11-08,,,1,1_4000712,1_4000712,1_4000712
1,4300580,1,,4300580,4300580,3,0,,,1,1995-11-16,2005-08-01,,1,1_4300580,1_4300580,1_4300580
1,4300863,1,,4300863,4300863,6,0,,,1,1996-11-25,2001-08-09,,1,1_4300863,1_4300863,1_4300863
1,4301292,1,,4301292,4301292,8,0,,,1,1999-09-24,2004-12-02,,1,1_4301292,1_4301292,1_4301292
1,4300117,1,,4300117,4300117,8,0,,,1,1995-11-13,2001-08-09,,1,1_4300117,1_4300117,1_4300117
1,4301011,1,,4301011,4301011,3,0,,,1,1996-11-26,2003-03-06,,1,1_4301011,1_4301011,1_4301011
1,4301417,1,,4301417,4301417,81,0,,,1,2002-01-07,2007-10-22,,1,1_4301417,1_4301417,1_4301417
1,4100264,1,,4100264,4100264,,,,,0,2014-02-18,,,1,1_4100264,1_4100264,1_4100264
1,4300586,1,,4300586,4300586,22,0,,,1,1995-11-16,2001-08-09,,1,1_4300586,1_4300586,1_4300586
1,4301043,1,,4301043,4301043,10,N,,,1,1996-09-25,2007-08-01,,1,1_4301043,1_4301043,1_4301043
1,4000192,1,,4000192,4000192,77,,,,1,1995-11-15,2002-09-01,,1,1_4000192,1_4000192,1_4000192
1,4301053,1,,4301053,4301053,7,0,,,1,1995-11-21,1996-08-01,,1,1_4301053,1_4301053,1_4301053
1,4300784,1,,4300784,4300784,9,0,,,1,1996-11-25,2001-08-09,,1,1_4300784,1_4300784,1_4300784
1,4000578,1,,4000578,4000578,,,,,1,2003-12-04,2009-01-01,,1,1_4000578,1_4000578,1_4000578
1,4310004,1,,4310004,4310004,1,0,,,1,2004-01-14,2005-02-15,,1,1_4310004,1_4310004,1_4310004
1,4310005,1,,4310005,4310005,1,0,,,1,2004-01-14,2005-02-15,,1,1_4310005,1_4310005,1_4310005
1,4301415,1,,4301415,4301415,1,T,,,1,2001-12-05,2009-01-01,,1,1_4301415,1_4301415,1_4301415
1,4000490,1,,4000490,4000490,77,,,,1,1999-06-25,2003-09-01,,1,1_4000490,1_4000490,1_4000490
1,4300044,1,,4300044,4300044,9,0,,,1,1995-11-10,2001-08-09,,1,1_4300044,1_4300044,1_4300044
1,4300188,1,,4300188,4300188,25,0,,,1,1995-11-14,1996-01-01,,1,1_4300188,1_4300188,1_4300188
1,4000588,1,,4000588,4000588,,,,,1,2004-07-26,2009-05-18,,1,1_4000588,1_4000588,1_4000588
1,4300899,1,,4300899,4300899,80,0,,,1,1996-11-26,2011-04-05,,1,1_4300899,1_4300899,1_4300899
