emp,eje,alm,doc,observacion,faviso,empresa_id,ejercicio_id,almacen_id,name
1,2010,1,14417,,,1,1_2010,1_1,1_2010_14417
1,2010,1,14418,,,1,1_2010,1_1,1_2010_14418
1,2010,1,14424,,,1,1_2010,1_1,1_2010_14424
1,2010,1,14425,,,1,1_2010,1_1,1_2010_14425
1,2010,1,14429,,,1,1_2010,1_1,1_2010_14429
1,2010,1,14430,,,1,1_2010,1_1,1_2010_14430
1,2010,1,14439,,,1,1_2010,1_1,1_2010_14439
1,2010,1,14440,,,1,1_2010,1_1,1_2010_14440
1,2010,1,14441,,,1,1_2010,1_1,1_2010_14441
1,2010,1,14446,,,1,1_2010,1_1,1_2010_14446
1,2010,1,14447,,,1,1_2010,1_1,1_2010_14447
1,2010,1,14450,,,1,1_2010,1_1,1_2010_14450
1,2010,1,14452,,,1,1_2010,1_1,1_2010_14452
1,2010,1,14453,,,1,1_2010,1_1,1_2010_14453
1,2010,1,14454,,,1,1_2010,1_1,1_2010_14454
1,2010,1,14455,,,1,1_2010,1_1,1_2010_14455
1,2010,1,14458,,,1,1_2010,1_1,1_2010_14458
1,2010,1,14459,,,1,1_2010,1_1,1_2010_14459
1,2010,1,14460,,,1,1_2010,1_1,1_2010_14460
1,2010,1,14461,,,1,1_2010,1_1,1_2010_14461
1,2010,1,14462,,,1,1_2010,1_1,1_2010_14462
1,2011,1,11015220,,,1,1_2011,1_1,1_2011_11015220
1,2011,1,11015121,,,1,1_2011,1_1,1_2011_11015121
1,2011,1,11015253,,,1,1_2011,1_1,1_2011_11015253
1,2011,1,11015129,,,1,1_2011,1_1,1_2011_11015129
1,2011,1,11015269,,,1,1_2011,1_1,1_2011_11015269
1,2011,1,11015151,,,1,1_2011,1_1,1_2011_11015151
1,2011,1,11015201,,,1,1_2011,1_1,1_2011_11015201
1,2011,1,11015234,,,1,1_2011,1_1,1_2011_11015234
1,2011,1,11015242,,,1,1_2011,1_1,1_2011_11015242
1,2011,1,11015259,,,1,1_2011,1_1,1_2011_11015259
1,2011,1,11015248,,,1,1_2011,1_1,1_2011_11015248
1,2011,1,11015261,,,1,1_2011,1_1,1_2011_11015261
1,2011,1,11015267,,,1,1_2011,1_1,1_2011_11015267
1,2011,1,11015213,,,1,1_2011,1_1,1_2011_11015213
1,2011,1,11015255,,,1,1_2011,1_1,1_2011_11015255
1,2011,1,11015263,,,1,1_2011,1_1,1_2011_11015263
1,2011,1,11015231,,,1,1_2011,1_1,1_2011_11015231
1,2011,1,11015120,,,1,1_2011,1_1,1_2011_11015120
1,2011,1,11015029,,,1,1_2011,1_1,1_2011_11015029
1,2011,1,11015257,,,1,1_2011,1_1,1_2011_11015257
1,2011,1,11014960,,,1,1_2011,1_1,1_2011_11014960
1,2011,1,11015166,,,1,1_2011,1_1,1_2011_11015166
1,2011,1,11015265,,,1,1_2011,1_1,1_2011_11015265
1,2011,1,11015223,,,1,1_2011,1_1,1_2011_11015223
1,2011,1,11015268,,,1,1_2011,1_1,1_2011_11015268
1,2012,1,12000025,,,1,1_2012,1_1,1_2012_12000025
1,2012,1,12000022,,,1,1_2012,1_1,1_2012_12000022
1,2012,1,12000024,,,1,1_2012,1_1,1_2012_12000024
1,2012,1,12000026,,,1,1_2012,1_1,1_2012_12000026
1,2012,1,12000014,,,1,1_2012,1_1,1_2012_12000014
1,2012,1,12000011,,,1,1_2012,1_1,1_2012_12000011
1,2012,1,12000021,,,1,1_2012,1_1,1_2012_12000021
1,2012,1,12000012,,,1,1_2012,1_1,1_2012_12000012
1,2012,1,12000017,,,1,1_2012,1_1,1_2012_12000017
1,2012,1,12000019,,,1,1_2012,1_1,1_2012_12000019
1,2012,1,12000023,,,1,1_2012,1_1,1_2012_12000023
1,2012,1,12000009,,,1,1_2012,1_1,1_2012_12000009
1,2012,1,12000005,,,1,1_2012,1_1,1_2012_12000005
1,2012,1,12000007,,,1,1_2012,1_1,1_2012_12000007
1,2012,1,12000020,,,1,1_2012,1_1,1_2012_12000020
1,2012,1,12000015,,,1,1_2012,1_1,1_2012_12000015
1,2012,1,12000016,,,1,1_2012,1_1,1_2012_12000016
1,2011,1,11015626,,,1,1_2011,1_1,1_2011_11015626
1,2011,1,11015620,,,1,1_2011,1_1,1_2011_11015620
